date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,1,0,0
2020-2-22,1,0,0
2020-2-23,1,0,0
2020-2-24,1,0,0
2020-2-25,1,0,0
2020-2-26,2,0,0
2020-2-27,2,0,0
2020-2-28,2,0,0
2020-2-29,4,0,0
2020-3-1,10,0,0
2020-3-2,13,0,0
2020-3-3,13,0,0
2020-3-4,13,1,0
2020-3-5,16,1,0
2020-3-6,22,1,0
2020-3-7,22,1,0
2020-3-8,32,1,0
2020-3-9,32,1,0
2020-3-10,41,1,1
2020-3-11,61,1,3
2020-3-12,61,1,3
2020-3-13,77,1,3
2020-3-14,93,1,3
2020-3-15,110,1,3
2020-3-16,110,1,3
2020-3-17,120,3,3
2020-3-18,133,3,3
2020-3-19,157,4,4
2020-3-20,163,4,4
2020-3-21,187,4,4
2020-3-22,248,8,4
2020-3-23,267,8,4
2020-3-24,318,8,4
2020-3-25,333,20,6
2020-3-26,368,23,6
2020-3-27,391,27,8
2020-3-28,412,30,8
2020-3-29,438,30,10
2020-3-30,446,35,11
2020-3-31,470,37,12
2020-4-1,479,43,14
2020-4-2,494,46,16
2020-4-3,508,50,17
2020-4-4,520,54,17
2020-4-5,527,54,18
2020-4-6,541,60,19
2020-4-7,548,62,19
2020-4-8,576,62,19
2020-4-9,582,67,19
2020-4-10,609,76,20
2020-4-11,619,77,20
2020-4-12,630,80,20
2020-4-13,632,80,20
2020-4-14,641,80,21
2020-4-15,658,85,21
2020-4-16,663,86,21
2020-4-17,668,86,21
2020-4-18,672,99,21
2020-4-19,673,102,21
2020-4-20,677,103,21
2020-4-21,677,108,21
2020-4-22,682,113,22
2020-4-23,688,140,22
2020-4-24,696,140,22
2020-4-25,704,143,24
2020-4-26,707,145,24
2020-4-27,710,145,24
2020-4-28,717,145,24
2020-4-29,721,150,24
2020-4-30,725,150,24
2020-5-1,729,192,24
2020-5-2,733,197,25
