date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,1,0,0
2020-3-11,3,0,0
2020-3-12,3,0,0
2020-3-13,6,0,0
2020-3-14,8,0,0
2020-3-15,12,1,0
2020-3-16,17,1,0
2020-3-17,25,1,0
2020-3-18,27,1,0
2020-3-19,36,1,0
2020-3-20,49,1,0
2020-3-21,83,1,1
2020-3-22,143,1,1
2020-3-23,179,1,1
2020-3-24,209,1,2
2020-3-25,274,1,4
2020-3-26,299,1,4
2020-3-27,358,1,5
2020-3-28,394,1,7
2020-3-29,460,1,7
2020-3-30,491,7,7
2020-3-31,537,7,8
2020-4-1,581,7,8
2020-4-2,649,7,9
2020-4-3,696,7,9
2020-4-4,771,7,11
2020-4-5,811,7,13
2020-4-6,843,8,15
2020-4-7,880,8,15
2020-4-8,912,8,15
2020-4-9,955,8,16
2020-4-10,999,54,22
2020-4-11,1026,54,23
2020-4-12,1053,97,23
2020-4-13,1062,101,24
2020-4-14,1070,101,29
2020-4-15,1091,138,30
2020-4-16,1128,178,32
2020-4-17,1149,210,33
2020-4-18,1239,228,33
2020-4-19,1298,242,35
2020-4-20,1326,242,37
2020-4-21,1350,298,38
2020-4-22,1370,357,38
2020-4-23,1398,399,40
2020-4-24,1410,430,40
2020-4-25,1426,460,41
2020-4-26,1438,467,41
2020-4-27,1449,474,41
2020-4-28,1344,536,44
2020-4-29,1375,563,45
2020-4-30,1385,589,45
2020-5-1,1399,594,45
