date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,2,0,0
2020-3-7,2,0,0
2020-3-8,3,0,0
2020-3-9,3,0,0
2020-3-10,5,0,0
2020-3-11,7,0,0
2020-3-12,19,0,0
2020-3-13,34,0,0
2020-3-14,51,0,1
2020-3-15,59,0,1
2020-3-16,77,0,1
2020-3-17,140,0,1
2020-3-18,203,0,2
2020-3-19,335,0,4
2020-3-20,484,0,4
2020-3-21,670,0,8
2020-3-22,798,6,8
2020-3-23,875,6,8
2020-3-24,1099,6,8
2020-3-25,1333,6,8
2020-3-26,1453,6,9
2020-3-27,1605,40,15
2020-3-28,1831,40,18
2020-3-29,1950,40,21
2020-3-30,1988,40,22
2020-3-31,2178,80,23
2020-4-1,2319,80,29
2020-4-2,2487,80,30
2020-4-3,2612,500,31
2020-4-4,2729,500,31
2020-4-5,2804,500,36
2020-4-6,2843,500,41
2020-4-7,2970,500,44
2020-4-8,3034,500,46
2020-4-9,3115,500,52
2020-4-10,3223,500,54
2020-4-11,3270,500,62
2020-4-12,3281,500,66
2020-4-13,3292,500,69
2020-4-14,3307,500,67
2020-4-15,3373,526,69
2020-4-16,3444,552,69
2020-4-17,3480,579,72
2020-4-18,3537,601,72
2020-4-19,3550,627,73
2020-4-20,3558,637,75
2020-4-21,3618,670,78
2020-4-22,3654,711,80
2020-4-23,3665,728,83
2020-4-24,3695,3007,85
2020-4-25,3711,3088,85
2020-4-26,3723,3104,88
2020-4-27,3729,3123,88
2020-4-28,3741,3123,89
2020-4-29,3769,3134,89
2020-4-30,3784,3213,90
2020-5-1,3802,3213,92
