date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,3,0,0
2020-1-26,4,0,0
2020-1-27,4,0,0
2020-1-28,4,0,0
2020-1-29,7,0,0
2020-1-30,8,0,0
2020-1-31,8,0,0
2020-2-1,8,0,0
2020-2-2,8,0,0
2020-2-3,8,0,0
2020-2-4,10,0,0
2020-2-5,12,0,0
2020-2-6,12,0,0
2020-2-7,12,1,0
2020-2-8,16,1,0
2020-2-9,16,1,0
2020-2-10,18,1,0
2020-2-11,18,3,0
2020-2-12,18,3,0
2020-2-13,19,3,0
2020-2-14,19,3,0
2020-2-15,22,7,0
2020-2-16,22,7,0
2020-2-17,22,7,0
2020-2-18,22,13,0
2020-2-19,22,15,0
2020-2-20,22,15,0
2020-2-21,22,15,0
2020-2-22,22,15,0
2020-2-23,22,15,0
2020-2-24,22,18,0
2020-2-25,22,18,0
2020-2-26,22,18,0
2020-2-27,23,18,0
2020-2-28,23,18,0
2020-2-29,25,18,0
2020-3-1,29,18,0
2020-3-2,29,18,0
2020-3-3,36,22,0
2020-3-4,50,22,0
2020-3-5,50,22,0
2020-3-6,83,22,0
2020-3-7,93,23,0
2020-3-8,99,24,0
2020-3-9,117,24,0
2020-3-10,129,24,0
2020-3-11,149,26,0
2020-3-12,149,26,0
2020-3-13,197,26,0
2020-3-14,238,35,0
2020-3-15,428,42,0
2020-3-16,566,42,0
2020-3-17,673,49,2
2020-3-18,790,60,2
2020-3-19,900,75,2
2020-3-20,1030,87,3
2020-3-21,1183,114,4
2020-3-22,1306,139,10
2020-3-23,1518,139,14
2020-3-24,1624,183,16
2020-3-25,1796,199,20
2020-3-26,2031,215,23
2020-3-27,2161,259,26
2020-3-28,2320,320,27
2020-3-29,2470,388,35
2020-3-30,2626,479,37
2020-3-31,2766,537,43
2020-4-1,2908,645,45
2020-4-2,3116,767,50
2020-4-3,3333,827,53
2020-4-4,3483,915,57
2020-4-5,3662,1005,61
2020-4-6,3793,1241,62
2020-4-7,3963,1321,63
2020-4-8,4119,1487,65
2020-4-9,4228,1608,67
2020-4-10,4346,1830,70
2020-4-11,4530,1995,73
2020-4-12,4683,2108,76
2020-4-13,4817,2276,77
2020-4-14,4987,2478,82
2020-4-15,5072,2647,83
2020-4-16,5182,2766,84
2020-4-17,5251,2967,86
2020-4-18,5305,3102,88
2020-4-19,5389,3197,89
2020-4-20,5425,3295,89
2020-4-21,5482,3349,92
2020-4-22,5532,3452,93
2020-4-23,5603,3542,95
2020-4-24,5691,3663,96
2020-4-25,5742,3762,98
2020-4-26,5780,3862,98
2020-4-27,5820,3957,99
2020-4-28,5851,4032,100
2020-4-29,5945,4087,100
2020-4-30,6002,4171,102
2020-5-1,6071,4210,103
2020-5-2,6176,4326,103
