date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,4,0,0
2020-3-9,4,0,0
2020-3-10,6,0,0
2020-3-11,8,0,0
2020-3-12,8,0,0
2020-3-13,9,0,0
2020-3-14,10,0,0
2020-3-15,13,0,0
2020-3-16,13,0,0
2020-3-17,13,0,0
2020-3-18,13,0,0
2020-3-19,13,0,0
2020-3-20,13,0,0
2020-3-21,13,0,0
2020-3-22,13,0,0
2020-3-23,13,0,0
2020-3-24,13,5,0
2020-3-25,13,8,0
2020-3-26,13,8,0
2020-3-27,16,9,0
2020-3-28,16,9,0
2020-3-29,17,13,0
2020-3-30,17,13,0
2020-3-31,18,13,0
2020-4-1,19,13,0
2020-4-2,19,13,0
2020-4-3,19,13,0
2020-4-4,19,13,0
2020-4-5,19,13,0
2020-4-6,19,13,0
2020-4-7,19,13,0
2020-4-8,19,13,0
2020-4-9,19,13,0
2020-4-10,19,13,0
2020-4-11,19,13,0
2020-4-12,20,14,0
2020-4-13,20,14,0
2020-4-14,20,16,0
2020-4-15,22,16,0
2020-4-16,25,16,0
2020-4-17,28,16,0
2020-4-18,35,16,0
2020-4-19,52,16,0
2020-4-20,69,16,0
2020-4-21,83,16,0
2020-4-22,86,16,0
2020-4-23,108,16,0
2020-4-24,129,16,0
2020-4-25,177,17,0
2020-4-26,214,17,0
2020-4-27,226,17,0
2020-4-28,250,17,0
2020-4-29,278,17,1
2020-4-30,468,17,1
2020-5-1,491,17,1
