date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,0,0,0
2020-3-17,0,0,0
2020-3-18,0,0,0
2020-3-19,0,0,0
2020-3-20,0,0,0
2020-3-21,0,0,0
2020-3-22,0,0,0
2020-3-23,0,0,0
2020-3-24,0,0,0
2020-3-25,2,0,0
2020-3-26,4,0,0
2020-3-27,11,0,0
2020-3-28,18,0,0
2020-3-29,18,0,1
2020-3-30,25,0,2
2020-3-31,28,0,2
2020-4-1,31,0,3
2020-4-2,36,0,3
2020-4-3,39,0,3
2020-4-4,41,1,3
2020-4-5,45,1,5
2020-4-6,47,9,5
2020-4-7,56,12,5
2020-4-8,59,16,7
2020-4-9,74,22,7
2020-4-10,87,22,7
2020-4-11,87,22,7
2020-4-12,105,22,9
2020-4-13,123,26,10
2020-4-14,144,34,13
2020-4-15,148,34,13
2020-4-16,171,34,13
2020-4-17,171,34,13
2020-4-18,216,41,13
2020-4-19,224,42,14
2020-4-20,246,56,14
2020-4-21,258,57,14
2020-4-22,293,73,17
2020-4-23,309,77,21
2020-4-24,325,87,21
2020-4-25,370,91,21
2020-4-26,389,112,23
2020-4-27,408,113,23
2020-4-28,424,122,24
2020-4-29,482,129,25
2020-4-30,490,135,26
2020-5-1,508,196,26
2020-5-2,544,206,26
