date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,3,0,0
2020-3-8,3,0,0
2020-3-9,3,0,0
2020-3-10,5,0,0
2020-3-11,6,0,0
2020-3-12,6,0,0
2020-3-13,12,1,0
2020-3-14,18,1,0
2020-3-15,21,1,0
2020-3-16,30,2,0
2020-3-17,38,2,0
2020-3-18,38,2,0
2020-3-19,53,2,0
2020-3-20,64,2,0
2020-3-21,73,2,0
2020-3-22,90,2,0
2020-3-23,107,2,0
2020-3-24,110,2,0
2020-3-25,129,2,0
2020-3-26,134,2,0
2020-3-27,139,2,0
2020-3-28,149,2,0
2020-3-29,151,2,0
2020-3-30,156,2,0
2020-3-31,169,2,0
2020-4-1,188,2,0
2020-4-2,196,2,0
2020-4-3,202,2,0
2020-4-4,213,2,0
2020-4-5,227,5,0
2020-4-6,241,5,0
2020-4-7,293,5,0
2020-4-8,299,16,1
2020-4-9,337,16,2
2020-4-10,350,16,2
2020-4-11,370,16,3
2020-4-12,378,44,3
2020-4-13,384,44,3
2020-4-14,393,44,3
2020-4-15,399,44,3
2020-4-16,412,82,3
2020-4-17,422,91,3
2020-4-18,426,99,3
2020-4-19,427,118,3
2020-4-20,431,126,3
2020-4-21,443,150,3
2020-4-22,444,165,3
2020-4-23,445,204,3
2020-4-24,447,223,3
2020-4-25,448,249,4
2020-4-26,448,282,4
2020-4-27,450,286,4
2020-4-28,458,303,4
2020-4-29,463,339,4
2020-4-30,465,351,4
2020-5-1,467,383,4
