date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,1,0,0
2020-2-29,4,0,0
2020-3-1,5,0,0
2020-3-2,5,0,0
2020-3-3,5,1,0
2020-3-4,5,1,0
2020-3-5,5,1,0
2020-3-6,6,1,0
2020-3-7,6,1,0
2020-3-8,7,1,0
2020-3-9,7,1,0
2020-3-10,7,4,0
2020-3-11,8,4,0
2020-3-12,12,4,0
2020-3-13,26,4,0
2020-3-14,41,4,0
2020-3-15,53,4,0
2020-3-16,82,4,0
2020-3-17,93,4,0
2020-3-18,118,4,0
2020-3-19,164,4,1
2020-3-20,203,4,2
2020-3-21,251,4,2
2020-3-22,316,4,3
2020-3-23,367,4,4
2020-3-24,405,4,5
2020-3-25,475,4,6
2020-3-26,585,4,8
2020-3-27,717,4,12
2020-3-28,848,4,16
2020-3-29,993,4,20
2020-3-30,1094,35,28
2020-3-31,1215,35,29
2020-4-1,1378,35,37
2020-4-2,1510,35,50
2020-4-3,1688,633,60
2020-4-4,1890,633,79
2020-4-5,2143,633,94
2020-4-6,2439,633,125
2020-4-7,2785,633,141
2020-4-8,3181,633,174
2020-4-9,3441,633,194
2020-4-10,3844,633,233
2020-4-11,4219,633,273
2020-4-12,4661,1772,296
2020-4-13,5014,1843,332
2020-4-14,5399,1964,406
2020-4-15,5847,2125,449
2020-4-16,6297,2125,486
2020-4-17,6875,2125,546
2020-4-18,7497,2125,650
2020-4-19,8261,2627,686
2020-4-20,8772,2627,712
2020-4-21,9501,2627,857
2020-4-22,10544,2627,970
2020-4-23,11633,2627,1069
2020-4-24,12872,2627,1221
2020-4-25,13842,7149,1305
2020-4-26,14677,8354,1351
2020-4-27,15529,9086,1434
2020-4-28,16752,11423,1569
2020-4-29,17799,11423,1732
2020-4-30,19224,11423,1859
2020-5-1,20739,12377,1972
2020-5-2,22088,12377,2061
