date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,3,0,0
2020-3-11,3,0,0
2020-3-12,3,0,0
2020-3-13,6,0,0
2020-3-14,12,0,0
2020-3-15,23,0,0
2020-3-16,23,0,0
2020-3-17,30,1,0
2020-3-18,30,1,1
2020-3-19,49,1,1
2020-3-20,66,1,1
2020-3-21,80,1,1
2020-3-22,94,1,1
2020-3-23,109,1,1
2020-3-24,125,2,1
2020-3-25,149,2,1
2020-3-26,177,2,1
2020-3-27,199,2,2
2020-3-28,231,2,2
2020-3-29,263,2,2
2020-3-30,298,15,2
2020-3-31,353,18,4
2020-4-1,423,23,5
2020-4-2,505,23,6
2020-4-3,591,26,8
2020-4-4,752,29,12
2020-4-5,864,30,15
2020-4-6,965,37,19
2020-4-7,1056,40,22
2020-4-8,1174,40,27
2020-4-9,1289,50,29
2020-4-10,1438,56,29
2020-4-11,1560,75,30
2020-4-12,1662,94,31
2020-4-13,1712,107,35
2020-4-14,1934,134,40
2020-4-15,2049,171,46
2020-4-16,2154,235,54
2020-4-17,2264,276,56
2020-4-18,2378,391,57
2020-4-19,2472,457,67
2020-4-20,2548,457,70
2020-4-21,2614,505,72
2020-4-22,2778,560,75
2020-4-23,2926,661,80
2020-4-24,3110,755,84
2020-4-25,3304,825,94
2020-4-26,3408,895,96
2020-4-27,3481,925,102
2020-4-28,3638,975,103
2020-4-29,3771,1114,111
2020-4-30,3897,1182,116
2020-5-1,3980,1272,122
2020-5-2,4052,1334,124
