date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,1,0,0
2020-3-11,1,0,0
2020-3-12,2,0,0
2020-3-13,2,0,0
2020-3-14,2,0,0
2020-3-15,2,0,0
2020-3-16,7,0,0
2020-3-17,7,0,0
2020-3-18,7,0,0
2020-3-19,7,0,0
2020-3-20,11,0,0
2020-3-21,11,0,0
2020-3-22,23,1,0
2020-3-23,23,1,0
2020-3-24,23,1,0
2020-3-25,31,1,0
2020-3-26,33,1,0
2020-3-27,42,1,0
2020-3-28,42,1,0
2020-3-29,46,1,1
2020-3-30,49,1,1
2020-3-31,52,2,1
2020-4-1,55,2,1
2020-4-2,60,2,1
2020-4-3,64,3,1
2020-4-4,66,3,1
2020-4-5,73,3,1
2020-4-6,77,4,1
2020-4-7,79,4,1
2020-4-8,81,4,1
2020-4-9,84,5,1
2020-4-10,90,5,1
2020-4-11,92,5,1
2020-4-12,93,6,1
2020-4-13,93,6,1
2020-4-14,93,6,1
2020-4-15,93,12,3
2020-4-16,93,12,3
2020-4-17,94,20,3
2020-4-18,94,22,3
2020-4-19,94,22,3
2020-4-20,94,23,3
2020-4-21,94,26,3
2020-4-22,94,26,3
2020-4-23,94,35,4
2020-4-24,94,41,4
2020-4-25,94,42,4
2020-4-26,94,42,4
2020-4-27,95,42,4
2020-4-28,95,50,4
2020-4-29,95,58,4
2020-4-30,95,64,4
2020-5-1,95,73,4
2020-5-2,95,78,4
