date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,0,0,0
2020-3-17,2,0,0
2020-3-18,2,0,0
2020-3-19,3,0,0
2020-3-20,14,0,0
2020-3-21,14,0,0
2020-3-22,21,0,0
2020-3-23,27,0,1
2020-3-24,47,0,1
2020-3-25,52,0,1
2020-3-26,69,0,1
2020-3-27,82,0,1
2020-3-28,84,0,1
2020-3-29,85,0,1
2020-3-30,91,0,1
2020-3-31,109,0,2
2020-4-1,123,0,2
2020-4-2,144,0,2
2020-4-3,174,1,2
2020-4-4,201,1,2
2020-4-5,214,1,2
2020-4-6,233,1,2
2020-4-7,241,4,2
2020-4-8,248,4,2
2020-4-9,252,4,2
2020-4-10,255,4,2
2020-4-11,263,5,2
2020-4-12,272,5,3
2020-4-13,274,5,3
2020-4-14,283,46,4
2020-4-15,288,55,4
2020-4-16,303,55,4
2020-4-17,303,55,5
2020-4-18,307,55,5
2020-4-19,308,55,5
2020-4-20,312,88,5
2020-4-21,313,101,5
2020-4-22,315,116,5
2020-4-23,316,123,5
2020-4-24,319,123,6
2020-4-25,320,153,6
2020-4-26,321,153,7
2020-4-27,321,189,7
2020-4-28,321,199,7
2020-4-29,322,203,7
2020-4-30,322,214,7
2020-5-1,322,233,7
2020-5-2,322,245,8
