date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,2,0,0
2020-3-6,2,0,0
2020-3-7,2,0,0
2020-3-8,2,0,0
2020-3-9,2,0,0
2020-3-10,3,0,1
2020-3-11,5,0,1
2020-3-12,6,0,1
2020-3-13,7,1,1
2020-3-14,17,1,1
2020-3-15,28,1,1
2020-3-16,29,1,1
2020-3-17,38,1,2
2020-3-18,49,1,2
2020-3-19,63,1,2
2020-3-20,77,1,3
2020-3-21,96,3,3
2020-3-22,115,3,4
2020-3-23,143,3,4
2020-3-24,170,6,5
2020-3-25,225,7,6
2020-3-26,275,8,11
2020-3-27,345,11,23
2020-3-28,402,11,25
2020-3-29,479,13,26
2020-3-30,556,15,33
2020-3-31,617,24,36
2020-4-1,654,29,39
2020-4-2,708,31,44
2020-4-3,791,57,48
2020-4-4,919,66,59
2020-4-5,1021,76,70
2020-4-6,1120,81,80
2020-4-7,1184,93,90
2020-4-8,1275,97,93
2020-4-9,1374,109,97
2020-4-10,1448,122,107
2020-4-11,1545,146,111
2020-4-12,1661,177,118
2020-4-13,1763,203,126
2020-4-14,1888,217,126
2020-4-15,2024,229,127
2020-4-16,2283,249,130
2020-4-17,2564,281,135
2020-4-18,2685,314,137
2020-4-19,2855,327,141
2020-4-20,3046,350,143
2020-4-21,3209,393,145
2020-4-22,3446,417,149
2020-4-23,3568,456,155
2020-4-24,3758,486,158
2020-4-25,3897,537,159
2020-4-26,4065,593,161
2020-4-27,4120,695,162
2020-4-28,4252,778,165
2020-4-29,4321,928,168
2020-4-30,4423,984,170
2020-5-1,4569,1083,171
