date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,1,0,0
2020-1-26,1,0,0
2020-1-27,1,0,0
2020-1-28,1,0,0
2020-1-29,1,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,1,0,0
2020-2-3,1,0,0
2020-2-4,1,0,0
2020-2-5,1,0,0
2020-2-6,1,0,0
2020-2-7,1,0,0
2020-2-8,1,0,0
2020-2-9,1,0,0
2020-2-10,1,0,0
2020-2-11,1,0,0
2020-2-12,1,1,0
2020-2-13,1,1,0
2020-2-14,1,1,0
2020-2-15,1,1,0
2020-2-16,1,1,0
2020-2-17,1,1,0
2020-2-18,1,1,0
2020-2-19,1,1,0
2020-2-20,1,1,0
2020-2-21,1,1,0
2020-2-22,1,1,0
2020-2-23,1,1,0
2020-2-24,1,1,0
2020-2-25,1,1,0
2020-2-26,1,1,0
2020-2-27,1,1,0
2020-2-28,1,1,0
2020-2-29,1,1,0
2020-3-1,1,1,0
2020-3-2,1,1,0
2020-3-3,1,1,0
2020-3-4,1,1,0
2020-3-5,1,1,0
2020-3-6,1,1,0
2020-3-7,1,1,0
2020-3-8,1,1,0
2020-3-9,1,1,0
2020-3-10,1,1,0
2020-3-11,1,1,0
2020-3-12,1,1,0
2020-3-13,1,1,0
2020-3-14,1,1,0
2020-3-15,1,1,0
2020-3-16,1,1,0
2020-3-17,1,1,0
2020-3-18,1,1,0
2020-3-19,1,1,0
2020-3-20,1,1,0
2020-3-21,1,1,0
2020-3-22,1,1,0
2020-3-23,2,1,0
2020-3-24,2,1,0
2020-3-25,3,1,0
2020-3-26,3,1,0
2020-3-27,4,1,0
2020-3-28,5,1,0
2020-3-29,5,1,0
2020-3-30,5,1,0
2020-3-31,5,1,0
2020-4-1,5,1,0
2020-4-2,6,1,0
2020-4-3,6,1,0
2020-4-4,9,1,0
2020-4-5,9,1,0
2020-4-6,9,1,0
2020-4-7,9,1,0
2020-4-8,9,1,0
2020-4-9,9,1,0
2020-4-10,9,1,0
2020-4-11,9,1,0
2020-4-12,12,1,0
2020-4-13,14,1,0
2020-4-14,16,1,0
2020-4-15,16,1,0
2020-4-16,16,2,0
2020-4-17,30,2,0
2020-4-18,31,2,0
2020-4-19,31,4,0
2020-4-20,31,4,0
2020-4-21,43,4,0
2020-4-22,45,7,0
2020-4-23,48,10,0
2020-4-24,49,11,0
2020-4-25,49,12,0
2020-4-26,52,16,0
2020-4-27,52,16,0
2020-4-28,54,16,0
2020-4-29,57,16,0
2020-4-30,57,16,0
2020-5-1,59,16,0
