date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,1,0,0
2020-2-28,1,0,0
2020-2-29,6,0,0
2020-3-1,10,0,0
2020-3-2,18,0,0
2020-3-3,24,0,0
2020-3-4,38,0,0
2020-3-5,82,0,0
2020-3-6,128,0,1
2020-3-7,188,0,1
2020-3-8,265,0,3
2020-3-9,321,0,3
2020-3-10,382,0,4
2020-3-11,503,0,5
2020-3-12,503,0,5
2020-3-13,806,0,10
2020-3-14,962,2,12
2020-3-15,1138,2,20
2020-3-16,1416,2,24
2020-3-17,1711,2,43
2020-3-18,2058,2,58
2020-3-19,2467,2,77
2020-3-20,3003,2,107
2020-3-21,3640,2,137
2020-3-22,4217,2,180
2020-3-23,4764,2,214
2020-3-24,5580,3,277
2020-3-25,6438,4,357
2020-3-26,7468,6,435
2020-3-27,8647,6,547
2020-3-28,9819,6,640
2020-3-29,10930,253,772
2020-3-30,11817,253,865
2020-3-31,12667,253,1040
2020-4-1,13696,260,1175
2020-4-2,14788,260,1341
2020-4-3,15821,260,1490
2020-4-4,16727,262,1656
2020-4-5,17953,257,1771
2020-4-6,18926,258,1874
2020-4-7,19709,272,2108
2020-4-8,20682,272,2255
2020-4-9,21903,278,2403
2020-4-10,23249,287,2520
2020-4-11,24571,291,2653
2020-4-12,25746,295,2747
2020-4-13,26710,295,2833
2020-4-14,27580,297,2955
2020-4-15,28316,304,3145
2020-4-16,29383,311,3327
2020-4-17,30619,315,3471
2020-4-18,31766,317,3613
2020-4-19,32838,322,3697
2020-4-20,33588,322,3764
2020-4-21,34317,74,3929
2020-4-22,35032,101,4068
2020-4-23,35921,101,4192
2020-4-24,36729,102,4304
2020-4-25,37384,102,4424
2020-4-26,38040,117,4491
2020-4-27,38440,117,4534
2020-4-28,38612,117,4582
2020-4-29,38998,119,4727
2020-4-30,39512,125,4811
2020-5-1,39989,138,4909
2020-5-2,40434,138,5003
