date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,3,0,0
2020-3-5,3,0,0
2020-3-6,4,0,0
2020-3-7,5,0,0
2020-3-8,5,0,0
2020-3-9,5,0,0
2020-3-10,5,0,0
2020-3-11,5,0,0
2020-3-12,5,0,0
2020-3-13,5,0,0
2020-3-14,6,0,0
2020-3-15,8,0,0
2020-3-16,8,0,0
2020-3-17,12,0,0
2020-3-18,20,0,0
2020-3-19,28,0,0
2020-3-20,39,0,0
2020-3-21,52,0,0
2020-3-22,102,0,0
2020-3-23,102,0,0
2020-3-24,155,12,0
2020-3-25,205,22,0
2020-3-26,283,27,0
2020-3-27,368,37,0
2020-3-28,451,50,0
2020-3-29,514,56,1
2020-3-30,589,63,1
2020-3-31,647,74,1
2020-4-1,708,83,1
2020-4-2,797,92,1
2020-4-3,868,103,1
2020-4-4,950,127,1
2020-4-5,1039,156,1
2020-4-6,1106,176,1
2020-4-7,1160,241,1
2020-4-8,1210,282,1
2020-4-9,1239,317,1
2020-4-10,1283,373,2
2020-4-11,1312,422,4
2020-4-12,1330,471,4
2020-4-13,1349,546,5
2020-4-14,1366,628,9
2020-4-15,1386,728,9
2020-4-16,1401,770,9
2020-4-17,1409,816,11
2020-4-18,1422,867,11
2020-4-19,1431,912,12
2020-4-20,1440,974,12
2020-4-21,1445,1006,13
2020-4-22,1451,1036,14
2020-4-23,1456,1095,17
2020-4-24,1461,1118,18
2020-4-25,1470,1142,18
2020-4-26,1469,1180,19
2020-4-27,1472,1214,19
2020-4-28,1474,1229,19
2020-4-29,1476,1241,19
2020-4-30,1479,1252,19
2020-5-1,1485,1263,20
