date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,2,0,0
2020-3-10,2,0,0
2020-3-11,2,0,0
2020-3-12,2,0,0
2020-3-13,2,0,0
2020-3-14,2,0,0
2020-3-15,2,0,0
2020-3-16,2,0,0
2020-3-17,3,0,0
2020-3-18,8,1,0
2020-3-19,8,1,0
2020-3-20,12,1,0
2020-3-21,22,1,0
2020-3-22,30,2,0
2020-3-23,40,2,1
2020-3-24,44,2,1
2020-3-25,51,2,1
2020-3-26,65,2,1
2020-3-27,70,3,1
2020-3-28,89,3,1
2020-3-29,111,3,1
2020-3-30,131,8,2
2020-3-31,135,8,2
2020-4-1,174,9,2
2020-4-2,184,20,2
2020-4-3,210,25,4
2020-4-4,214,25,4
2020-4-5,232,33,5
2020-4-6,238,35,5
2020-4-7,254,44,6
2020-4-8,276,44,6
2020-4-9,288,51,7
2020-4-10,305,58,7
2020-4-11,318,70,10
2020-4-12,323,85,10
2020-4-13,343,91,10
2020-4-14,373,99,11
2020-4-15,407,128,12
2020-4-16,442,152,13
2020-4-17,493,159,17
2020-4-18,542,166,19
2020-4-19,627,170,21
2020-4-20,665,188,22
2020-4-21,665,188,22
2020-4-22,873,197,28
2020-4-23,981,197,31
2020-4-24,1095,208,32
2020-4-25,1182,222,35
2020-4-26,1273,239,40
2020-4-27,1337,255,40
2020-4-28,1532,255,44
2020-4-29,1728,307,51
2020-4-30,1932,319,58
2020-5-1,2170,351,68
2020-5-2,2388,351,85
