date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,1,0,0
2020-2-27,1,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,3,0,0
2020-3-7,3,0,0
2020-3-8,3,0,0
2020-3-9,3,0,0
2020-3-10,7,0,0
2020-3-11,7,0,0
2020-3-12,7,0,0
2020-3-13,14,1,0
2020-3-14,14,1,0
2020-3-15,14,1,0
2020-3-16,18,1,0
2020-3-17,26,1,0
2020-3-18,35,1,0
2020-3-19,48,1,0
2020-3-20,67,1,0
2020-3-21,85,1,0
2020-3-22,115,1,1
2020-3-23,136,1,2
2020-3-24,148,1,2
2020-3-25,177,1,3
2020-3-26,201,3,3
2020-3-27,219,3,3
2020-3-28,241,3,4
2020-3-29,259,3,6
2020-3-30,285,12,7
2020-3-31,329,12,9
2020-4-1,354,17,11
2020-4-2,384,17,11
2020-4-3,430,20,12
2020-4-4,483,20,17
2020-4-5,555,23,18
2020-4-6,570,30,23
2020-4-7,599,30,26
2020-4-8,617,35,29
2020-4-9,663,37,30
2020-4-10,711,41,32
2020-4-11,760,41,34
2020-4-12,828,41,34
2020-4-13,854,44,38
2020-4-14,908,86,44
2020-4-15,974,98,45
2020-4-16,1081,121,46
2020-4-17,1117,139,49
2020-4-18,1170,164,49
2020-4-19,1207,179,51
2020-4-20,1225,200,54
2020-4-21,1231,224,55
2020-4-22,1259,272,56
2020-4-23,1300,301,56
2020-4-24,1326,337,57
2020-4-25,1367,374,59
2020-4-26,1386,500,61
2020-4-27,1399,553,65
2020-4-28,1421,589,71
2020-4-29,1442,627,73
2020-4-30,1465,738,77
2020-5-1,1494,807,81
2020-5-2,1506,852,82
