date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,1,0,0
2020-2-27,1,0,0
2020-2-28,6,0,0
2020-2-29,15,0,0
2020-3-1,19,0,0
2020-3-2,25,0,0
2020-3-3,32,0,0
2020-3-4,56,0,0
2020-3-5,87,0,0
2020-3-6,108,0,0
2020-3-7,147,0,0
2020-3-8,176,0,0
2020-3-9,205,1,0
2020-3-10,400,1,0
2020-3-11,598,1,0
2020-3-12,702,1,0
2020-3-13,996,1,0
2020-3-14,1090,1,3
2020-3-15,1221,1,3
2020-3-16,1333,1,3
2020-3-17,1463,1,3
2020-3-18,1550,1,6
2020-3-19,1746,1,7
2020-3-20,1914,1,7
2020-3-21,2118,1,7
2020-3-22,2385,1,7
2020-3-23,2621,1,10
2020-3-24,2863,6,12
2020-3-25,3084,6,14
2020-3-26,3369,6,14
2020-3-27,3755,6,19
2020-3-28,4015,7,23
2020-3-29,4284,7,25
2020-3-30,4445,12,32
2020-3-31,4641,13,39
2020-4-1,4863,13,44
2020-4-2,5147,32,50
2020-4-3,5370,32,59
2020-4-4,5550,32,62
2020-4-5,5687,32,71
2020-4-6,5865,32,76
2020-4-7,6086,32,89
2020-4-8,6086,32,101
2020-4-9,6211,32,108
2020-4-10,6314,32,113
2020-4-11,6409,32,119
2020-4-12,6525,32,128
2020-4-13,6603,32,134
2020-4-14,6623,32,139
2020-4-15,6740,32,150
2020-4-16,6896,32,152
2020-4-17,6937,32,161
2020-4-18,7036,32,164
2020-4-19,7078,32,165
2020-4-20,7156,32,181
2020-4-21,7191,32,182
2020-4-22,7338,32,187
2020-4-23,7401,32,194
2020-4-24,7463,32,199
2020-4-25,7499,32,201
2020-4-26,7527,32,201
2020-4-27,7599,32,205
2020-4-28,7660,32,206
2020-4-29,7710,32,207
2020-4-30,7738,32,210
2020-5-1,7783,32,210
