date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,2,0,0
2020-2-25,2,0,0
2020-2-26,4,0,0
2020-2-27,4,0,0
2020-2-28,4,0,0
2020-2-29,6,1,0
2020-3-1,6,1,0
2020-3-2,6,1,0
2020-3-3,12,2,0
2020-3-4,15,2,0
2020-3-5,16,2,0
2020-3-6,16,2,0
2020-3-7,16,2,0
2020-3-8,16,2,0
2020-3-9,16,2,0
2020-3-10,18,9,0
2020-3-11,18,9,0
2020-3-12,18,9,0
2020-3-13,19,9,0
2020-3-14,19,9,0
2020-3-15,22,9,0
2020-3-16,22,9,0
2020-3-17,24,9,0
2020-3-18,39,12,0
2020-3-19,48,12,0
2020-3-20,48,12,0
2020-3-21,52,12,0
2020-3-22,55,17,0
2020-3-23,66,17,0
2020-3-24,84,17,0
2020-3-25,99,17,0
2020-3-26,109,23,0
2020-3-27,131,23,0
2020-3-28,152,23,0
2020-3-29,167,23,0
2020-3-30,179,29,0
2020-3-31,192,34,1
2020-4-1,210,34,1
2020-4-2,231,57,1
2020-4-3,252,57,1
2020-4-4,277,61,2
2020-4-5,298,61,2
2020-4-6,331,61,2
2020-4-7,371,67,2
2020-4-8,419,72,2
2020-4-9,457,109,3
2020-4-10,484,109,3
2020-4-11,546,109,3
2020-4-12,599,109,4
2020-4-13,727,124,4
2020-4-14,813,130,4
2020-4-15,910,131,4
2020-4-16,1019,176,4
2020-4-17,1069,176,6
2020-4-18,1180,176,6
2020-4-19,1266,233,7
2020-4-20,1410,238,7
2020-4-21,1508,238,8
2020-4-22,1614,238,8
2020-4-23,1716,307,9
2020-4-24,1790,325,10
2020-4-25,1905,329,10
2020-4-26,1998,333,10
2020-4-27,2049,364,10
2020-4-28,2131,364,10
2020-4-29,2274,364,10
2020-4-30,2348,495,11
2020-5-1,2447,495,11
2020-5-2,2483,750,12
