date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,2,0,0
2020-2-27,2,0,0
2020-2-28,2,0,0
2020-2-29,4,0,0
2020-3-1,4,0,0
2020-3-2,4,0,0
2020-3-3,5,0,0
2020-3-4,5,0,0
2020-3-5,5,0,0
2020-3-6,6,0,0
2020-3-7,6,0,0
2020-3-8,6,1,0
2020-3-9,6,1,0
2020-3-10,16,1,0
2020-3-11,19,2,0
2020-3-12,20,2,0
2020-3-13,28,2,0
2020-3-14,31,2,0
2020-3-15,53,2,0
2020-3-16,136,2,0
2020-3-17,236,2,0
2020-3-18,299,2,0
2020-3-19,454,13,2
2020-3-20,501,13,3
2020-3-21,730,13,3
2020-3-22,776,5,5
2020-3-23,875,5,6
2020-3-24,972,18,7
2020-3-25,1063,21,8
2020-3-26,1201,21,9
2020-3-27,1373,23,11
2020-3-28,1495,29,12
2020-3-29,1597,29,14
2020-3-30,1717,76,21
2020-3-31,1938,76,26
2020-4-1,2118,94,27
2020-4-2,2421,125,34
2020-4-3,2686,126,40
2020-4-4,2818,131,41
2020-4-5,3157,211,47
2020-4-6,3766,259,53
2020-4-7,4035,429,57
2020-4-8,4263,467,61
2020-4-9,4489,572,65
2020-4-10,4695,727,66
2020-4-11,5011,762,86
2020-4-12,5230,1028,91
2020-4-13,5496,1095,93
2020-4-14,5837,1378,96
2020-4-15,6383,1446,111
2020-4-16,6919,1645,128
2020-4-17,7025,1765,135
2020-4-18,7638,1832,143
2020-4-19,8348,1868,168
2020-4-20,8418,1970,176
2020-4-21,9565,2073,201
2020-4-22,10076,2156,212
2020-4-23,11155,2527,237
2020-4-24,11940,2755,253
2020-4-25,12723,2866,269
2020-4-26,13328,2936,281
2020-4-27,13915,3029,292
2020-4-28,14612,3233,312
2020-4-29,15525,3425,343
2020-4-30,16817,4315,385
2020-5-1,18114,4715,417
2020-5-2,19103,4817,440
