date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,1,0,0
2020-3-11,8,0,1
2020-3-12,11,0,1
2020-3-13,27,0,1
2020-3-14,36,0,1
2020-3-15,43,0,1
2020-3-16,55,0,1
2020-3-17,69,0,1
2020-3-18,86,0,1
2020-3-19,109,0,1
2020-3-20,137,0,1
2020-3-21,200,0,1
2020-3-22,313,0,3
2020-3-23,345,0,6
2020-3-24,345,1,6
2020-3-25,443,1,8
2020-3-26,558,2,8
2020-3-27,674,2,9
2020-3-28,786,2,14
2020-3-29,901,4,17
2020-3-30,989,4,24
2020-3-31,1181,9,30
2020-4-1,1181,9,30
2020-4-2,1317,9,32
2020-4-3,1475,10,37
2020-4-4,1673,13,41
2020-4-5,1801,13,46
2020-4-6,1988,13,54
2020-4-7,2100,14,55
2020-4-8,2249,16,59
2020-4-9,2528,16,63
2020-4-10,2752,16,66
2020-4-11,2974,17,74
2020-4-12,3234,23,79
2020-4-13,3400,29,87
2020-4-14,3472,61,94
2020-4-15,3574,72,95
2020-4-16,3751,75,103
2020-4-17,4016,98,109
2020-4-18,4210,122,116
2020-4-19,4273,140,120
2020-4-20,4467,165,126
2020-4-21,4658,204,136
2020-4-22,4821,231,141
2020-4-23,5166,271,146
2020-4-24,5338,319,154
2020-4-25,5538,338,159
2020-4-26,5779,338,165
2020-4-27,6021,455,167
2020-4-28,6021,455,167
2020-4-29,6378,527,178
2020-4-30,6532,576,188
2020-5-1,6720,622,192
