date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,1,0,0
2020-3-11,5,0,0
2020-3-12,5,0,0
2020-3-13,6,0,0
2020-3-14,6,0,0
2020-3-15,6,0,0
2020-3-16,8,0,0
2020-3-17,9,0,0
2020-3-18,11,0,0
2020-3-19,11,0,0
2020-3-20,13,0,0
2020-3-21,18,0,1
2020-3-22,22,0,1
2020-3-23,22,0,1
2020-3-24,27,0,2
2020-3-25,37,0,3
2020-3-26,41,0,3
2020-3-27,52,1,3
2020-3-28,56,1,3
2020-3-29,59,1,3
2020-3-30,64,1,3
2020-3-31,65,1,3
2020-4-1,69,1,3
2020-4-2,77,2,3
2020-4-3,92,6,3
2020-4-4,96,12,3
2020-4-5,104,12,3
2020-4-6,113,12,5
2020-4-7,115,15,5
2020-4-8,119,15,5
2020-4-9,124,18,5
2020-4-10,129,18,6
2020-4-11,133,18,6
2020-4-12,134,22,6
2020-4-13,147,22,6
2020-4-14,159,22,7
2020-4-15,161,23,8
2020-4-16,174,30,8
2020-4-17,199,30,8
2020-4-18,202,35,8
2020-4-19,206,41,8
2020-4-20,208,46,8
2020-4-21,208,53,8
2020-4-22,213,62,9
2020-4-23,213,67,9
2020-4-24,223,78,9
2020-4-25,228,85,9
2020-4-26,228,85,9
2020-4-27,228,93,9
2020-4-28,239,102,9
2020-4-29,239,102,9
2020-4-30,266,113,10
2020-5-1,333,115,10
