date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,6,0,0
2020-3-9,7,0,0
2020-3-10,11,0,0
2020-3-11,11,0,0
2020-3-12,15,0,0
2020-3-13,28,0,0
2020-3-14,38,0,0
2020-3-15,43,0,0
2020-3-16,86,0,0
2020-3-17,117,1,0
2020-3-18,145,1,0
2020-3-19,234,1,0
2020-3-20,234,1,3
2020-3-21,318,1,5
2020-3-22,363,1,5
2020-3-23,395,1,5
2020-3-24,416,1,7
2020-3-25,480,1,9
2020-3-26,580,14,9
2020-3-27,635,16,11
2020-3-28,671,16,16
2020-3-29,852,16,18
2020-3-30,950,53,24
2020-3-31,1065,394,30
2020-4-1,1323,394,38
2020-4-2,1414,537,55
2020-4-3,1595,537,61
2020-4-4,1746,914,73
2020-4-5,2281,989,83
2020-4-6,2561,997,92
2020-4-7,2954,1301,107
2020-4-8,4342,1333,121
2020-4-9,5256,1438,138
2020-4-10,5897,1569,169
2020-4-11,6848,1739,181
2020-4-12,7519,1798,193
2020-4-13,9784,2642,216
2020-4-14,10303,2869,230
2020-4-15,11475,3108,254
2020-4-16,12491,6120,274
2020-4-17,13489,6541,300
2020-4-18,14420,6684,348
2020-4-19,15628,6811,400
2020-4-20,16325,6968,445
2020-4-21,17837,6982,484
2020-4-22,19250,7027,530
2020-4-23,20914,7422,572
2020-4-24,21648,7496,634
2020-4-25,25331,7797,700
2020-4-26,27517,8088,728
2020-4-27,28699,8425,782
2020-4-28,31190,9179,854
2020-4-29,33931,10037,943
2020-4-30,36976,10405,1051
2020-5-1,40459,11129,1124
