date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,2,0,1
2020-2-3,2,0,1
2020-2-4,2,0,1
2020-2-5,2,0,1
2020-2-6,2,0,1
2020-2-7,3,0,1
2020-2-8,3,0,1
2020-2-9,3,0,1
2020-2-10,3,0,1
2020-2-11,3,0,1
2020-2-12,3,1,1
2020-2-13,3,1,1
2020-2-14,3,1,1
2020-2-15,3,1,1
2020-2-16,3,1,1
2020-2-17,3,1,1
2020-2-18,3,1,1
2020-2-19,3,1,1
2020-2-20,3,1,1
2020-2-21,3,1,1
2020-2-22,3,1,1
2020-2-23,3,1,1
2020-2-24,3,1,1
2020-2-25,3,1,1
2020-2-26,3,1,1
2020-2-27,3,1,1
2020-2-28,3,1,1
2020-2-29,3,1,1
2020-3-1,3,1,1
2020-3-2,3,1,1
2020-3-3,3,1,1
2020-3-4,3,1,1
2020-3-5,3,1,1
2020-3-6,5,1,1
2020-3-7,6,1,1
2020-3-8,10,1,1
2020-3-9,20,1,1
2020-3-10,33,2,1
2020-3-11,49,2,1
2020-3-12,52,2,2
2020-3-13,64,2,5
2020-3-14,111,2,8
2020-3-15,140,2,11
2020-3-16,142,2,12
2020-3-17,187,5,12
2020-3-18,202,5,19
2020-3-19,217,8,17
2020-3-20,230,8,18
2020-3-21,307,13,19
2020-3-22,380,17,25
2020-3-23,462,17,33
2020-3-24,552,20,35
2020-3-25,636,26,38
2020-3-26,707,28,45
2020-3-27,803,31,54
2020-3-28,1075,35,68
2020-3-29,1418,42,71
2020-3-30,1546,42,78
2020-3-31,2084,49,88
2020-4-1,2311,50,96
2020-4-2,2633,51,107
2020-4-3,3018,52,136
2020-4-4,3094,57,144
2020-4-5,3246,64,152
2020-4-6,3660,73,163
2020-4-7,3764,84,177
2020-4-8,3870,96,182
2020-4-9,4076,124,203
2020-4-10,4195,140,221
2020-4-11,4428,157,247
2020-4-12,4648,197,297
2020-4-13,4932,242,315
2020-4-14,5223,295,335
2020-4-15,5453,353,349
2020-4-16,5660,435,362
2020-4-17,5878,487,387
2020-4-18,6087,516,397
2020-4-19,6259,572,409
2020-4-20,6459,613,428
2020-4-21,6599,654,437
2020-4-22,6710,693,446
2020-4-23,6981,722,462
2020-4-24,7192,762,477
2020-4-25,7294,792,494
2020-4-26,7579,862,501
2020-4-27,7777,932,511
2020-4-28,7958,975,530
2020-4-29,8212,1023,558
2020-4-30,8488,1043,568
2020-5-1,8772,1084,579
