date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,5,0,0
2020-3-7,5,0,0
2020-3-8,11,0,0
2020-3-9,16,0,0
2020-3-10,22,0,0
2020-3-11,31,0,0
2020-3-12,49,0,1
2020-3-13,68,0,2
2020-3-14,103,0,3
2020-3-15,119,0,3
2020-3-16,177,13,4
2020-3-17,238,13,5
2020-3-18,251,13,5
2020-3-19,355,1,5
2020-3-20,425,1,5
2020-3-21,536,1,5
2020-3-22,634,1,7
2020-3-23,749,1,8
2020-3-24,901,1,10
2020-3-25,1051,7,14
2020-3-26,1221,7,16
2020-3-27,1389,7,16
2020-3-28,1638,7,18
2020-3-29,1862,7,22
2020-3-30,2055,7,31
2020-3-31,2311,7,33
2020-4-1,2554,47,43
2020-4-2,2946,56,57
2020-4-3,3383,56,71
2020-4-4,3627,116,79
2020-4-5,4102,134,94
2020-4-6,4413,162,107
2020-4-7,4848,191,129
2020-4-8,5205,222,159
2020-4-9,5575,284,174
2020-4-10,5955,318,181
2020-4-11,6356,375,208
2020-4-12,6674,439,232
2020-4-13,6934,487,245
2020-4-14,7202,618,263
2020-4-15,7582,668,286
2020-4-16,7918,774,314
2020-4-17,8379,866,332
2020-4-18,8742,981,347
2020-4-19,9287,1040,360
2020-4-20,9593,1133,380
2020-4-21,9856,1297,401
2020-4-22,10169,1513,426
2020-4-23,10511,1740,454
2020-4-24,10892,1944,494
2020-4-25,11273,2126,524
2020-4-26,11617,2265,535
2020-4-27,11902,2466,562
2020-4-28,12218,2655,596
2020-4-29,12640,3025,624
2020-4-30,12877,3236,644
2020-5-1,13105,3491,651
2020-5-2,13375,3762,664
