date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,2,0,0
2020-3-3,2,0,0
2020-3-4,5,0,0
2020-3-5,8,0,0
2020-3-6,13,0,0
2020-3-7,20,0,0
2020-3-8,30,0,0
2020-3-9,30,0,0
2020-3-10,41,0,0
2020-3-11,59,0,0
2020-3-12,59,0,0
2020-3-13,112,1,0
2020-3-14,169,2,0
2020-3-15,245,2,0
2020-3-16,331,3,0
2020-3-17,448,3,1
2020-3-18,448,3,2
2020-3-19,785,3,3
2020-3-20,1020,5,6
2020-3-21,1280,5,12
2020-3-22,1600,5,14
2020-3-23,2060,5,23
2020-3-24,2362,22,33
2020-3-25,2995,22,43
2020-3-26,3544,43,60
2020-3-27,4268,43,76
2020-3-28,5170,43,100
2020-3-29,5962,43,119
2020-3-30,6408,43,140
2020-3-31,7443,43,160
2020-4-1,8251,43,187
2020-4-2,9034,68,209
2020-4-3,9886,68,246
2020-4-4,10524,75,266
2020-4-5,11278,75,295
2020-4-6,11730,140,311
2020-4-7,12442,184,345
2020-4-8,13141,196,380
2020-4-9,13956,205,409
2020-4-10,15472,233,435
2020-4-11,15987,266,470
2020-4-12,16585,277,504
2020-4-13,16934,277,535
2020-4-14,17448,347,567
2020-4-15,18091,383,599
2020-4-16,18841,493,629
2020-4-17,19022,519,657
2020-4-18,19685,610,687
2020-4-19,20206,610,714
2020-4-20,20863,610,735
2020-4-21,21379,917,762
2020-4-22,21982,1143,785
2020-4-23,22353,1201,820
2020-4-24,22797,1228,854
2020-4-25,23392,1277,880
2020-4-26,23864,1329,903
2020-4-27,24027,1357,928
2020-4-28,24322,1389,948
2020-4-29,24505,1470,973
2020-4-30,25045,1519,989
2020-5-1,25351,1647,1007
