date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,1,0,0
2020-3-1,3,0,0
2020-3-2,3,0,0
2020-3-3,7,0,0
2020-3-4,8,0,0
2020-3-5,8,0,0
2020-3-6,8,0,0
2020-3-7,8,0,0
2020-3-8,15,0,0
2020-3-9,18,0,0
2020-3-10,24,0,0
2020-3-11,262,0,0
2020-3-12,262,0,0
2020-3-13,320,0,0
2020-3-14,337,4,0
2020-3-15,401,4,0
2020-3-16,439,4,0
2020-3-17,439,4,0
2020-3-18,452,4,0
2020-3-19,460,4,0
2020-3-20,470,10,0
2020-3-21,481,27,0
2020-3-22,494,33,0
2020-3-23,501,33,0
2020-3-24,526,41,0
2020-3-25,537,41,0
2020-3-26,549,43,0
2020-3-27,562,43,0
2020-3-28,590,45,1
2020-3-29,634,48,1
2020-3-30,693,51,1
2020-3-31,781,62,2
2020-4-1,835,71,2
2020-4-2,949,72,3
2020-4-3,1075,93,3
2020-4-4,1325,109,3
2020-4-5,1604,123,4
2020-4-6,1832,131,4
2020-4-7,2057,150,6
2020-4-8,2210,178,6
2020-4-9,2376,206,6
2020-4-10,2512,227,6
2020-4-11,2728,247,6
2020-4-12,2979,275,7
2020-4-13,3231,334,7
2020-4-14,3428,373,7
2020-4-15,3711,406,7
2020-4-16,4103,415,7
2020-4-17,4663,464,7
2020-4-18,5008,510,8
2020-4-19,5448,518,8
2020-4-20,6015,555,9
2020-4-21,6533,614,9
2020-4-22,7141,689,10
2020-4-23,7764,750,10
2020-4-24,8525,809,10
2020-4-25,9358,929,10
2020-4-26,10287,1012,10
2020-4-27,11244,1066,10
2020-4-28,11921,1134,10
2020-4-29,12564,1243,10
2020-4-30,13409,1372,10
2020-5-1,14096,1436,12
2020-5-2,14872,1534,12
