date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,1,0,0
2020-2-27,1,0,0
2020-2-28,3,0,0
2020-2-29,3,0,0
2020-3-1,3,0,0
2020-3-2,3,0,0
2020-3-3,3,0,0
2020-3-4,4,1,0
2020-3-5,6,1,0
2020-3-6,9,1,0
2020-3-7,9,3,0
2020-3-8,15,3,0
2020-3-9,15,3,0
2020-3-10,25,3,0
2020-3-11,45,6,0
2020-3-12,49,6,0
2020-3-13,89,7,0
2020-3-14,123,9,0
2020-3-15,131,9,0
2020-3-16,158,9,0
2020-3-17,184,16,0
2020-3-18,260,19,0
2020-3-19,277,25,0
2020-3-20,308,25,0
2020-3-21,367,52,0
2020-3-22,433,64,3
2020-3-23,576,64,7
2020-3-24,794,79,11
2020-3-25,906,86,17
2020-3-26,1029,94,23
2020-3-27,1292,115,26
2020-3-28,1452,139,37
2020-3-29,1815,206,43
2020-3-30,2109,209,65
2020-3-31,2245,220,82
2020-4-1,2460,252,92
2020-4-2,2738,267,115
2020-4-3,3183,283,133
2020-4-4,3613,329,146
2020-4-5,3864,374,151
2020-4-6,4057,406,176
2020-4-7,4417,460,197
2020-4-8,4761,528,220
2020-4-9,5202,647,248
2020-4-10,5467,729,270
2020-4-11,5990,758,291
2020-4-12,6300,852,316
2020-4-13,6633,914,331
2020-4-14,6879,1051,351
2020-4-15,7216,1217,372
2020-4-16,7707,1357,392
2020-4-17,8067,1508,411
2020-4-18,8418,1730,421
2020-4-19,8746,1892,451
2020-4-20,8936,2017,478
2020-4-21,9242,2153,498
2020-4-22,9710,2406,524
2020-4-23,10096,2478,545
2020-4-24,10417,2817,567
2020-4-25,10635,2890,601
2020-4-26,11036,3054,619
2020-4-27,11339,3141,641
2020-4-28,11616,3404,663
2020-4-29,11978,3569,693
2020-4-30,12240,4017,717
2020-5-1,12567,4328,744
2020-5-2,12732,4547,771
