date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,2,0,0
2020-2-1,2,0,0
2020-2-2,2,0,0
2020-2-3,2,0,0
2020-2-4,2,0,0
2020-2-5,2,0,0
2020-2-6,2,0,0
2020-2-7,2,0,0
2020-2-8,2,0,0
2020-2-9,2,0,0
2020-2-10,2,0,0
2020-2-11,2,0,0
2020-2-12,2,2,0
2020-2-13,2,2,0
2020-2-14,2,2,0
2020-2-15,2,2,0
2020-2-16,2,2,0
2020-2-17,2,2,0
2020-2-18,2,2,0
2020-2-19,2,2,0
2020-2-20,2,2,0
2020-2-21,2,2,0
2020-2-22,2,2,0
2020-2-23,2,2,0
2020-2-24,2,2,0
2020-2-25,2,2,0
2020-2-26,2,2,0
2020-2-27,2,2,0
2020-2-28,2,2,0
2020-2-29,2,2,0
2020-3-1,2,2,0
2020-3-2,3,2,0
2020-3-3,3,2,0
2020-3-4,3,2,0
2020-3-5,4,2,0
2020-3-6,13,2,0
2020-3-7,13,2,0
2020-3-8,17,3,0
2020-3-9,17,3,0
2020-3-10,20,3,0
2020-3-11,20,3,0
2020-3-12,28,3,0
2020-3-13,45,3,0
2020-3-14,59,8,0
2020-3-15,63,8,0
2020-3-16,90,8,0
2020-3-17,114,8,0
2020-3-18,147,8,0
2020-3-19,199,9,1
2020-3-20,253,9,1
2020-3-21,306,12,1
2020-3-22,367,16,1
2020-3-23,438,16,1
2020-3-24,495,22,1
2020-3-25,658,29,3
2020-3-26,840,38,3
2020-3-27,1036,45,4
2020-3-28,1264,49,4
2020-3-29,1534,64,8
2020-3-30,1836,66,9
2020-3-31,2337,121,17
2020-4-1,2777,190,24
2020-4-2,3548,235,30
2020-4-3,4149,281,34
2020-4-4,4731,333,43
2020-4-5,5389,355,45
2020-4-6,6343,406,47
2020-4-7,7497,494,58
2020-4-8,8672,580,63
2020-4-9,10131,698,76
2020-4-10,11917,795,94
2020-4-11,13584,1045,106
2020-4-12,15770,1291,130
2020-4-13,18328,1470,148
2020-4-14,21102,1694,170
2020-4-15,24490,1986,198
2020-4-16,27938,2304,232
2020-4-17,32008,2590,273
2020-4-18,36793,3057,313
2020-4-19,42853,3291,361
2020-4-20,47121,3446,405
2020-4-21,52763,3873,456
2020-4-22,57999,4420,513
2020-4-23,62773,4891,555
2020-4-24,68622,5568,615
2020-4-25,74588,6250,681
2020-4-26,80949,6767,747
2020-4-27,87147,7346,794
2020-4-28,93558,8456,867
2020-4-29,99399,10286,972
2020-4-30,106498,11619,1073
2020-5-1,114431,13220,1169
