date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,1,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,8,0,0
2020-3-3,10,0,1
2020-3-4,16,0,1
2020-3-5,21,0,1
2020-3-6,21,0,1
2020-3-7,23,0,1
2020-3-8,36,0,1
2020-3-9,36,0,1
2020-3-10,51,0,2
2020-3-11,62,0,2
2020-3-12,69,0,3
2020-3-13,80,0,5
2020-3-14,80,4,5
2020-3-15,101,4,5
2020-3-16,109,4,7
2020-3-17,109,4,7
2020-3-18,119,4,11
2020-3-19,119,4,11
2020-3-20,144,4,14
2020-3-21,144,4,20
2020-3-22,175,4,20
2020-3-23,187,4,20
2020-3-24,187,4,21
2020-3-25,208,4,21
2020-3-26,208,4,21
2020-3-27,223,4,21
2020-3-28,224,6,22
2020-3-29,224,6,22
2020-3-30,230,13,25
2020-3-31,236,13,26
2020-4-1,236,13,26
2020-4-2,245,21,30
2020-4-3,245,21,30
2020-4-4,259,27,32
2020-4-5,266,35,32
2020-4-6,266,35,32
2020-4-7,279,40,34
2020-4-8,279,40,34
2020-4-9,333,49,34
2020-4-10,344,50,34
2020-4-11,356,53,35
2020-4-12,356,53,35
2020-4-13,356,53,35
2020-4-14,371,53,36
2020-4-15,372,53,36
2020-4-16,426,55,38
2020-4-17,435,57,39
2020-4-18,455,60,39
2020-4-19,461,60,39
2020-4-20,462,61,39
2020-4-21,476,62,40
2020-4-22,488,62,40
2020-4-23,501,63,40
2020-4-24,513,64,40
2020-4-25,513,64,40
2020-4-26,538,64,41
2020-4-27,538,64,41
2020-4-28,553,64,41
2020-4-29,563,69,41
2020-4-30,569,78,41
2020-5-1,580,82,41
