date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,5,0,0
2020-3-6,5,0,0
2020-3-7,5,0,0
2020-3-8,11,0,0
2020-3-9,15,0,0
2020-3-10,20,1,0
2020-3-11,21,1,0
2020-3-12,45,1,0
2020-3-13,86,1,0
2020-3-14,103,1,0
2020-3-15,103,1,0
2020-3-16,118,2,0
2020-3-17,171,6,0
2020-3-18,171,6,0
2020-3-19,274,6,0
2020-3-20,344,8,0
2020-3-21,392,16,0
2020-3-22,511,16,0
2020-3-23,562,16,0
2020-3-24,767,28,1
2020-3-25,900,29,2
2020-3-26,1012,33,3
2020-3-27,1104,35,3
2020-3-28,1203,37,4
2020-3-29,1299,66,8
2020-3-30,1453,115,8
2020-3-31,1563,165,10
2020-4-1,1720,264,16
2020-4-2,1885,328,21
2020-4-3,2039,351,25
2020-4-4,2179,420,29
2020-4-5,2402,488,34
2020-4-6,2605,551,38
2020-4-7,2795,615,41
2020-4-8,2932,631,41
2020-4-9,3287,666,44
2020-4-10,3651,685,47
2020-4-11,4033,720,52
2020-4-12,4462,761,59
2020-4-13,4934,805,65
2020-4-14,5369,889,73
2020-4-15,5862,931,79
2020-4-16,6380,990,83
2020-4-17,7142,1049,87
2020-4-18,8274,1329,92
2020-4-19,9362,1398,97
2020-4-20,10484,1490,103
2020-4-21,11631,1640,109
2020-4-22,12772,1812,114
2020-4-23,13930,1925,121
2020-4-24,15102,2049,127
2020-4-25,16299,2215,136
2020-4-26,17522,2357,139
2020-4-27,18811,2531,144
2020-4-28,20077,2784,152
2020-4-29,21402,2953,157
2020-4-30,22753,3163,162
2020-5-1,24097,3555,169
