date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,1,0,0
2020-3-3,2,0,0
2020-3-4,4,0,0
2020-3-5,4,0,0
2020-3-6,4,0,0
2020-3-7,4,0,0
2020-3-8,4,1,0
2020-3-9,4,1,0
2020-3-10,4,1,0
2020-3-11,4,1,0
2020-3-12,4,1,0
2020-3-13,10,1,0
2020-3-14,10,1,0
2020-3-15,24,1,0
2020-3-16,24,2,0
2020-3-17,26,2,0
2020-3-18,31,2,0
2020-3-19,31,2,0
2020-3-20,38,2,0
2020-3-21,47,5,0
2020-3-22,67,5,0
2020-3-23,79,5,0
2020-3-24,86,8,0
2020-3-25,99,9,0
2020-3-26,105,9,0
2020-3-27,119,11,0
2020-3-28,130,18,0
2020-3-29,142,27,0
2020-3-30,162,27,0
2020-3-31,175,40,0
2020-4-1,190,45,1
2020-4-2,195,55,1
2020-4-3,207,66,1
2020-4-4,219,72,2
2020-4-5,222,82,2
2020-4-6,226,92,2
2020-4-7,237,105,2
2020-4-8,244,113,2
2020-4-9,250,123,2
2020-4-10,265,137,2
2020-4-11,278,152,2
2020-4-12,280,171,2
2020-4-13,291,178,2
2020-4-14,299,183,2
2020-4-15,314,190,2
2020-4-16,335,194,2
2020-4-17,342,198,2
2020-4-18,350,211,3
2020-4-19,367,220,3
2020-4-20,377,235,5
2020-4-21,412,242,5
2020-4-22,442,253,6
2020-4-23,479,257,6
2020-4-24,545,262,7
2020-4-25,614,276,7
2020-4-26,671,283,9
2020-4-27,736,284,9
2020-4-28,823,296,9
2020-4-29,882,315,9
2020-4-30,933,334,9
2020-5-1,1024,356,9
