date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,0,0,0
2020-3-17,0,0,0
2020-3-18,0,0,0
2020-3-19,0,0,0
2020-3-20,0,0,0
2020-3-21,0,0,0
2020-3-22,0,0,0
2020-3-23,0,0,0
2020-3-24,0,0,0
2020-3-25,0,0,0
2020-3-26,0,0,0
2020-3-27,0,0,0
2020-3-28,0,0,0
2020-3-29,0,0,0
2020-3-30,0,0,0
2020-3-31,1,0,0
2020-4-1,2,0,0
2020-4-2,2,0,0
2020-4-3,2,0,0
2020-4-4,4,0,0
2020-4-5,6,0,0
2020-4-6,6,0,0
2020-4-7,6,0,0
2020-4-8,7,0,0
2020-4-9,7,0,0
2020-4-10,8,0,0
2020-4-11,8,0,0
2020-4-12,10,0,0
2020-4-13,10,0,0
2020-4-14,11,0,0
2020-4-15,13,0,0
2020-4-16,15,0,0
2020-4-17,26,0,0
2020-4-18,30,0,0
2020-4-19,35,6,0
2020-4-20,43,6,0
2020-4-21,50,6,0
2020-4-22,61,6,0
2020-4-23,64,10,1
2020-4-24,82,10,2
2020-4-25,82,10,2
2020-4-26,93,10,4
2020-4-27,93,10,4
2020-4-28,104,12,4
2020-4-29,104,12,4
2020-4-30,124,21,7
2020-5-1,136,21,7
