date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,1,0,0
2020-1-24,3,0,0
2020-1-25,3,0,0
2020-1-26,4,0,0
2020-1-27,5,0,0
2020-1-28,7,0,0
2020-1-29,7,0,0
2020-1-30,10,0,0
2020-1-31,13,0,0
2020-2-1,16,0,0
2020-2-2,18,0,0
2020-2-3,18,0,0
2020-2-4,24,0,0
2020-2-5,28,0,0
2020-2-6,28,0,0
2020-2-7,30,0,0
2020-2-8,33,2,0
2020-2-9,40,2,0
2020-2-10,45,2,0
2020-2-11,47,9,0
2020-2-12,50,15,0
2020-2-13,58,15,0
2020-2-14,67,17,0
2020-2-15,72,18,0
2020-2-16,75,18,0
2020-2-17,77,24,0
2020-2-18,81,29,0
2020-2-19,84,34,0
2020-2-20,84,34,0
2020-2-21,85,37,0
2020-2-22,85,37,0
2020-2-23,89,51,0
2020-2-24,89,51,0
2020-2-25,91,53,0
2020-2-26,93,62,0
2020-2-27,93,62,0
2020-2-28,93,62,0
2020-2-29,102,72,0
2020-3-1,106,72,0
2020-3-2,108,78,0
2020-3-3,110,78,0
2020-3-4,110,78,0
2020-3-5,117,78,0
2020-3-6,130,78,0
2020-3-7,138,78,0
2020-3-8,150,78,0
2020-3-9,150,78,0
2020-3-10,160,78,0
2020-3-11,178,96,0
2020-3-12,178,96,0
2020-3-13,200,97,0
2020-3-14,212,105,0
2020-3-15,226,105,0
2020-3-16,243,109,0
2020-3-17,266,114,0
2020-3-18,313,114,0
2020-3-19,345,114,0
2020-3-20,385,124,0
2020-3-21,432,140,2
2020-3-22,455,144,2
2020-3-23,509,144,2
2020-3-24,558,156,2
2020-3-25,631,160,2
2020-3-26,683,172,2
2020-3-27,732,183,2
2020-3-28,802,198,2
2020-3-29,844,212,3
2020-3-30,879,228,3
2020-3-31,926,240,3
2020-4-1,1000,245,3
2020-4-2,1049,266,4
2020-4-3,1114,282,5
2020-4-4,1189,297,6
2020-4-5,1309,320,6
2020-4-6,1375,344,6
2020-4-7,1481,377,6
2020-4-8,1623,406,6
2020-4-9,1910,460,6
2020-4-10,2108,492,7
2020-4-11,2299,528,8
2020-4-12,2532,560,8
2020-4-13,2918,586,9
2020-4-14,3252,611,10
2020-4-15,3699,652,10
2020-4-16,4427,683,10
2020-4-17,5050,708,11
2020-4-18,5992,740,11
2020-4-19,6588,768,11
2020-4-20,8014,801,11
2020-4-21,9125,839,11
2020-4-22,10141,896,12
2020-4-23,11178,924,12
2020-4-24,12075,956,12
2020-4-25,12693,1002,12
2020-4-26,13624,1060,12
2020-4-27,14423,1095,14
2020-4-28,14951,1128,14
2020-4-29,15641,1188,14
2020-4-30,16169,1244,15
2020-5-1,17101,1268,16
2020-5-2,17548,1347,17
