date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,3,0,0
2020-3-9,3,0,0
2020-3-10,7,0,0
2020-3-11,10,0,0
2020-3-12,16,0,0
2020-3-13,32,0,0
2020-3-14,44,0,0
2020-3-15,54,0,0
2020-3-16,63,0,0
2020-3-17,72,0,0
2020-3-18,105,0,1
2020-3-19,123,0,1
2020-3-20,137,0,1
2020-3-21,178,0,1
2020-3-22,185,7,0
2020-3-23,186,7,0
2020-3-24,204,7,0
2020-3-25,216,7,0
2020-3-26,226,2,0
2020-3-27,269,2,0
2020-3-28,292,2,0
2020-3-29,314,2,0
2020-3-30,336,7,0
2020-3-31,363,3,0
2020-4-1,400,3,1
2020-4-2,426,5,1
2020-4-3,450,10,1
2020-4-4,471,10,1
2020-4-5,485,10,1
2020-4-6,534,8,2
2020-4-7,581,13,2
2020-4-8,682,16,2
2020-4-9,701,23,2
2020-4-10,715,23,2
2020-4-11,728,23,2
2020-4-12,742,23,2
2020-4-13,769,107,2
2020-4-14,835,113,2
2020-4-15,863,151,6
2020-4-16,977,167,8
2020-4-17,1049,175,9
2020-4-18,1089,213,11
2020-4-19,1161,229,12
2020-4-20,1173,251,13
2020-4-21,1199,258,14
2020-4-22,1244,284,14
2020-4-23,1325,288,15
2020-4-24,1360,355,17
2020-4-25,1373,386,17
2020-4-26,1379,394,18
2020-4-27,1381,403,18
2020-4-28,1384,423,20
2020-4-29,1391,484,22
2020-4-30,1396,524,23
2020-5-1,1403,558,23
2020-5-2,1407,608,24
