date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,2,0,0
2020-3-6,7,0,0
2020-3-7,7,0,0
2020-3-8,16,0,0
2020-3-9,16,0,0
2020-3-10,31,0,0
2020-3-11,57,0,0
2020-3-12,89,0,0
2020-3-13,141,0,0
2020-3-14,181,0,1
2020-3-15,219,0,1
2020-3-16,253,0,1
2020-3-17,275,0,1
2020-3-18,275,0,1
2020-3-19,286,0,1
2020-3-20,341,0,1
2020-3-21,383,0,1
2020-3-22,414,0,2
2020-3-23,442,0,3
2020-3-24,480,0,4
2020-3-25,528,10,5
2020-3-26,562,10,6
2020-3-27,632,10,9
2020-3-28,684,10,9
2020-3-29,730,10,11
2020-3-30,756,10,11
2020-3-31,802,10,15
2020-4-1,841,10,15
2020-4-2,897,70,17
2020-4-3,934,70,20
2020-4-4,977,79,22
2020-4-5,997,79,28
2020-4-6,1021,102,30
2020-4-7,1059,102,36
2020-4-8,1091,120,40
2020-4-9,1124,128,43
2020-4-10,1160,137,45
2020-4-11,1188,148,50
2020-4-12,1205,150,53
2020-4-13,1212,152,55
2020-4-14,1220,152,56
2020-4-15,1248,165,61
2020-4-16,1268,174,61
2020-4-17,1304,174,66
2020-4-18,1317,190,70
2020-4-19,1330,192,74
2020-4-20,1335,193,77
2020-4-21,1344,197,77
2020-4-22,1353,205,79
2020-4-23,1366,211,79
2020-4-24,1373,211,80
2020-4-25,1388,219,81
2020-4-26,1396,221,82
2020-4-27,1402,221,83
2020-4-28,1408,223,86
2020-4-29,1418,230,89
2020-4-30,1429,233,91
2020-5-1,1434,233,92
2020-5-2,1439,239,94
