date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,3,0,0
2020-3-9,3,0,0
2020-3-10,7,0,0
2020-3-11,13,0,0
2020-3-12,17,0,0
2020-3-13,24,0,0
2020-3-14,38,0,0
2020-3-15,51,0,0
2020-3-16,62,0,0
2020-3-17,62,0,0
2020-3-18,116,0,0
2020-3-19,150,0,0
2020-3-20,202,0,0
2020-3-21,240,0,0
2020-3-22,274,0,0
2020-3-23,402,0,0
2020-3-24,554,4,0
2020-3-25,709,12,0
2020-3-26,927,12,0
2020-3-27,1170,31,1
2020-3-28,1187,31,1
2020-3-29,1280,31,2
2020-3-30,1326,31,3
2020-3-31,1353,31,5
2020-4-1,1380,50,5
2020-4-2,1462,50,5
2020-4-3,1505,95,9
2020-4-4,1585,95,9
2020-4-5,1655,95,11
2020-4-6,1686,95,12
2020-4-7,1749,95,13
2020-4-8,1845,95,18
2020-4-9,1934,95,18
2020-4-10,2003,410,24
2020-4-11,2028,410,25
2020-4-12,2173,410,25
2020-4-13,2272,410,27
2020-4-14,2415,410,27
2020-4-15,2506,410,34
2020-4-16,2605,903,48
2020-4-17,2783,903,50
2020-4-18,3034,903,52
2020-4-19,3158,903,54
2020-4-20,3300,1055,58
2020-4-21,3465,1055,58
2020-4-22,3635,1055,65
2020-4-23,3953,1473,75
2020-4-24,4220,1473,79
2020-4-25,4361,1473,86
2020-4-26,4546,1473,87
2020-4-27,4793,1473,90
2020-4-28,4996,2073,93
2020-4-29,5350,2073,103
2020-4-30,5647,2073,103
2020-5-1,5951,2382,116
