date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,1,0,0
2020-2-2,1,0,0
2020-2-3,1,0,0
2020-2-4,1,0,0
2020-2-5,1,0,0
2020-2-6,1,0,0
2020-2-7,1,0,0
2020-2-8,1,0,0
2020-2-9,2,0,0
2020-2-10,2,0,0
2020-2-11,2,0,0
2020-2-12,2,0,0
2020-2-13,2,0,0
2020-2-14,2,0,0
2020-2-15,2,2,0
2020-2-16,2,2,0
2020-2-17,2,2,0
2020-2-18,2,2,0
2020-2-19,2,2,0
2020-2-20,2,2,0
2020-2-21,2,2,0
2020-2-22,2,2,0
2020-2-23,2,2,0
2020-2-24,2,2,0
2020-2-25,6,2,0
2020-2-26,13,2,0
2020-2-27,15,2,0
2020-2-28,32,2,0
2020-2-29,45,2,0
2020-3-1,84,2,0
2020-3-2,120,2,0
2020-3-3,165,2,1
2020-3-4,222,2,2
2020-3-5,259,2,3
2020-3-6,400,2,5
2020-3-7,500,30,10
2020-3-8,673,30,17
2020-3-9,1073,32,28
2020-3-10,1695,32,35
2020-3-11,2277,183,54
2020-3-12,2277,183,55
2020-3-13,5232,193,133
2020-3-14,6391,517,195
2020-3-15,7798,517,289
2020-3-16,9942,530,342
2020-3-17,11748,1028,533
2020-3-18,13910,1081,623
2020-3-19,17963,1107,830
2020-3-20,20410,1588,1043
2020-3-21,25374,2125,1375
2020-3-22,28768,2575,1772
2020-3-23,35136,2575,2311
2020-3-24,39885,3794,2808
2020-3-25,49515,5367,3647
2020-3-26,57786,7015,4365
2020-3-27,65719,9357,5138
2020-3-28,73235,12285,5982
2020-3-29,80110,14709,6803
2020-3-30,87956,16780,7716
2020-3-31,95923,19259,8464
2020-4-1,104118,22647,9387
2020-4-2,112065,26743,10348
2020-4-3,119199,30513,11198
2020-4-4,126168,34219,11947
2020-4-5,131646,38080,12641
2020-4-6,136675,40437,13341
2020-4-7,141942,43208,14045
2020-4-8,148220,48021,14792
2020-4-9,153222,52165,15447
2020-4-10,158273,55668,16081
2020-4-11,163027,59109,16606
2020-4-12,166831,62391,17209
2020-4-13,170099,64727,17756
2020-4-14,172541,67504,18056
2020-4-15,177644,70853,18708
2020-4-16,184948,74797,19315
2020-4-17,190839,74797,20002
2020-4-18,191726,74797,20043
2020-4-19,198674,77357,20453
2020-4-20,200210,80587,20852
2020-4-21,204178,82514,21282
2020-4-22,208389,85915,21717
2020-4-23,213024,89250,22157
2020-4-24,202990,92355,22524
2020-4-25,205905,95708,22902
2020-4-26,207634,98372,23190
2020-4-27,209465,100875,23521
2020-4-28,210773,102548,23822
2020-4-29,212917,108947,24275
2020-4-30,213435,112050,24543
2020-5-1,213435,112050,24543
