date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,1,0,0
2020-1-28,1,0,0
2020-1-29,1,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,1,0,0
2020-2-3,1,0,0
2020-2-4,1,0,0
2020-2-5,1,0,0
2020-2-6,1,0,0
2020-2-7,1,0,0
2020-2-8,1,1,0
2020-2-9,1,1,0
2020-2-10,1,1,0
2020-2-11,1,1,0
2020-2-12,1,1,0
2020-2-13,1,1,0
2020-2-14,1,1,0
2020-2-15,1,1,0
2020-2-16,1,1,0
2020-2-17,1,1,0
2020-2-18,1,1,0
2020-2-19,1,1,0
2020-2-20,1,1,0
2020-2-21,1,1,0
2020-2-22,1,1,0
2020-2-23,1,1,0
2020-2-24,1,1,0
2020-2-25,1,1,0
2020-2-26,1,1,0
2020-2-27,1,1,0
2020-2-28,1,1,0
2020-2-29,1,1,0
2020-3-1,1,1,0
2020-3-2,1,1,0
2020-3-3,1,1,0
2020-3-4,1,1,0
2020-3-5,1,1,0
2020-3-6,1,1,0
2020-3-7,1,1,0
2020-3-8,1,1,0
2020-3-9,1,1,0
2020-3-10,1,1,0
2020-3-11,2,1,0
2020-3-12,2,1,0
2020-3-13,6,1,0
2020-3-14,10,1,0
2020-3-15,18,1,0
2020-3-16,28,1,0
2020-3-17,44,1,0
2020-3-18,51,1,0
2020-3-19,60,3,0
2020-3-20,73,3,0
2020-3-21,77,1,0
2020-3-22,82,3,0
2020-3-23,97,3,0
2020-3-24,102,2,0
2020-3-25,102,3,0
2020-3-26,106,7,0
2020-3-27,106,7,0
2020-3-28,113,9,1
2020-3-29,117,11,1
2020-3-30,122,15,2
2020-3-31,143,17,2
2020-4-1,146,21,3
2020-4-2,151,21,4
2020-4-3,159,24,4
2020-4-4,166,27,5
2020-4-5,176,33,5
2020-4-6,178,38,5
2020-4-7,185,42,6
2020-4-8,189,44,7
2020-4-9,190,49,7
2020-4-10,190,54,7
2020-4-11,198,54,7
2020-4-12,210,56,7
2020-4-13,217,56,7
2020-4-14,233,61,7
2020-4-15,238,63,7
2020-4-16,238,68,7
2020-4-17,244,77,7
2020-4-18,254,86,7
2020-4-19,271,96,7
2020-4-20,304,98,7
2020-4-21,310,102,7
2020-4-22,330,105,7
2020-4-23,368,107,7
2020-4-24,420,109,7
2020-4-25,460,118,7
2020-4-26,523,120,7
2020-4-27,588,126,7
2020-4-28,619,134,7
2020-4-29,649,136,7
2020-4-30,663,154,7
2020-5-1,690,162,7
