date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,1,0,0
2020-2-3,1,0,0
2020-2-4,1,0,0
2020-2-5,1,0,0
2020-2-6,1,0,0
2020-2-7,1,0,0
2020-2-8,1,0,0
2020-2-9,1,0,0
2020-2-10,1,0,0
2020-2-11,1,0,0
2020-2-12,1,0,0
2020-2-13,1,0,0
2020-2-14,1,0,0
2020-2-15,1,0,0
2020-2-16,1,0,0
2020-2-17,1,0,0
2020-2-18,1,0,0
2020-2-19,1,0,0
2020-2-20,1,0,0
2020-2-21,1,0,0
2020-2-22,1,0,0
2020-2-23,1,0,0
2020-2-24,1,0,0
2020-2-25,1,0,0
2020-2-26,2,0,0
2020-2-27,7,0,0
2020-2-28,7,0,0
2020-2-29,12,0,0
2020-3-1,14,0,0
2020-3-2,15,0,0
2020-3-3,21,0,0
2020-3-4,35,0,0
2020-3-5,94,0,0
2020-3-6,101,0,0
2020-3-7,161,0,0
2020-3-8,203,0,0
2020-3-9,248,1,0
2020-3-10,355,1,0
2020-3-11,500,1,1
2020-3-12,599,1,1
2020-3-13,814,1,1
2020-3-14,961,1,2
2020-3-15,1022,1,3
2020-3-16,1103,1,6
2020-3-17,1190,1,7
2020-3-18,1279,1,10
2020-3-19,1439,16,11
2020-3-20,1639,16,16
2020-3-21,1763,16,20
2020-3-22,1934,16,21
2020-3-23,2046,16,25
2020-3-24,2286,16,36
2020-3-25,2526,16,62
2020-3-26,2840,16,77
2020-3-27,3069,16,105
2020-3-28,3447,16,105
2020-3-29,3700,16,110
2020-3-30,4028,16,146
2020-3-31,4435,16,180
2020-4-1,4947,103,239
2020-4-2,5568,103,308
2020-4-3,6131,205,358
2020-4-4,6443,205,373
2020-4-5,6830,205,401
2020-4-6,7206,205,477
2020-4-7,7693,205,591
2020-4-8,8419,205,687
2020-4-9,9141,205,793
2020-4-10,9685,381,870
2020-4-11,10151,381,887
2020-4-12,10483,381,899
2020-4-13,10948,381,919
2020-4-14,11445,381,1033
2020-4-15,11927,381,1203
2020-4-16,12540,550,1333
2020-4-17,13216,550,1400
2020-4-18,13822,550,1511
2020-4-19,14385,550,1540
2020-4-20,14777,550,1580
2020-4-21,15322,550,1765
2020-4-22,16004,550,1937
2020-4-23,16755,550,2021
2020-4-24,17567,1005,2152
2020-4-25,18177,1005,2192
2020-4-26,18640,1005,2194
2020-4-27,18926,1005,2274
2020-4-28,19621,1005,2355
2020-4-29,20302,1005,2462
2020-4-30,21092,1005,2586
2020-5-1,21520,1005,2653
2020-5-2,22082,1005,2669
