date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,1,0,0
2020-2-26,1,0,0
2020-2-27,8,0,0
2020-2-28,8,0,0
2020-2-29,18,0,0
2020-3-1,27,0,0
2020-3-2,42,0,0
2020-3-3,56,2,0
2020-3-4,90,3,0
2020-3-5,114,3,1
2020-3-6,214,3,1
2020-3-7,268,3,1
2020-3-8,337,3,2
2020-3-9,374,3,2
2020-3-10,491,3,3
2020-3-11,652,4,4
2020-3-12,652,4,4
2020-3-13,1139,4,11
2020-3-14,1359,4,13
2020-3-15,2200,4,14
2020-3-16,2200,4,14
2020-3-17,2700,4,27
2020-3-18,3028,15,28
2020-3-19,4075,15,41
2020-3-20,5294,15,54
2020-3-21,6575,15,75
2020-3-22,7474,131,98
2020-3-23,8795,131,120
2020-3-24,9877,131,122
2020-3-25,10897,131,153
2020-3-26,11811,131,191
2020-3-27,12928,1530,231
2020-3-28,14076,1530,264
2020-3-29,14829,1595,300
2020-3-30,15922,1823,359
2020-3-31,16605,1823,433
2020-4-1,17768,2967,488
2020-4-2,18827,4013,536
2020-4-3,19606,4846,591
2020-4-4,20505,6415,666
2020-4-5,21100,6415,715
2020-4-6,21657,8056,765
2020-4-7,22253,8704,821
2020-4-8,23280,9800,895
2020-4-9,24051,10600,948
2020-4-10,24551,11100,1002
2020-4-11,25107,12100,1036
2020-4-12,25415,12700,1106
2020-4-13,25688,13700,1138
2020-4-14,25936,13700,1174
2020-4-15,26336,15400,1239
2020-4-16,26732,15900,1281
2020-4-17,27078,16400,1327
2020-4-18,27404,17100,1368
2020-4-19,27740,17800,1393
2020-4-20,27944,18600,1429
2020-4-21,28063,19400,1478
2020-4-22,28268,19900,1509
2020-4-23,28496,20600,1549
2020-4-24,28677,21000,1589
2020-4-25,28894,21300,1599
2020-4-26,29061,21800,1610
2020-4-27,29164,22200,1665
2020-4-28,29264,22600,1699
2020-4-29,29407,22600,1716
2020-4-30,29586,23400,1737
2020-5-1,29705,23900,1754
2020-5-2,29817,24200,1762
