date,confirmed,recovered,deaths
2020-1-22,1,0,0
2020-1-23,1,0,0
2020-1-24,3,0,0
2020-1-25,3,0,0
2020-1-26,4,0,0
2020-1-27,5,0,0
2020-1-28,8,0,0
2020-1-29,8,0,0
2020-1-30,9,0,0
2020-1-31,10,0,0
2020-2-1,10,0,0
2020-2-2,10,0,0
2020-2-3,10,0,0
2020-2-4,11,0,0
2020-2-5,11,0,0
2020-2-6,16,1,0
2020-2-7,16,1,0
2020-2-8,17,1,0
2020-2-9,18,1,0
2020-2-10,18,1,0
2020-2-11,18,1,0
2020-2-12,18,1,0
2020-2-13,18,1,0
2020-2-14,18,2,0
2020-2-15,18,2,0
2020-2-16,20,2,1
2020-2-17,22,2,1
2020-2-18,22,2,1
2020-2-19,23,2,1
2020-2-20,24,2,1
2020-2-21,26,2,1
2020-2-22,26,2,1
2020-2-23,28,2,1
2020-2-24,30,5,1
2020-2-25,31,5,1
2020-2-26,32,5,1
2020-2-27,32,5,1
2020-2-28,34,6,1
2020-2-29,39,9,1
2020-3-1,40,9,1
2020-3-2,41,12,1
2020-3-3,42,12,1
2020-3-4,42,12,1
2020-3-5,44,12,1
2020-3-6,45,12,1
2020-3-7,45,12,1
2020-3-8,45,13,1
2020-3-9,45,15,1
2020-3-10,47,17,1
2020-3-11,48,17,1
2020-3-12,49,20,1
2020-3-13,50,20,1
2020-3-14,53,20,1
2020-3-15,59,20,1
2020-3-16,67,20,1
2020-3-17,77,22,1
2020-3-18,100,22,1
2020-3-19,108,26,1
2020-3-20,135,26,2
2020-3-21,153,28,2
2020-3-22,169,28,2
2020-3-23,195,28,2
2020-3-24,215,29,2
2020-3-25,235,29,2
2020-3-26,252,29,2
2020-3-27,267,29,2
2020-3-28,283,30,2
2020-3-29,298,30,2
2020-3-30,306,39,5
2020-3-31,322,39,5
2020-4-1,329,39,5
2020-4-2,339,45,5
2020-4-3,348,50,5
2020-4-4,355,50,5
2020-4-5,363,50,5
2020-4-6,373,57,5
2020-4-7,376,57,5
2020-4-8,379,61,5
2020-4-9,380,67,5
2020-4-10,382,91,6
2020-4-11,385,99,6
2020-4-12,388,109,6
2020-4-13,393,109,6
2020-4-14,393,124,6
2020-4-15,395,124,6
2020-4-16,395,155,6
2020-4-17,395,166,6
2020-4-18,398,178,6
2020-4-19,420,189,6
2020-4-20,422,203,6
2020-4-21,425,217,6
2020-4-22,426,236,6
2020-4-23,427,253,6
2020-4-24,428,264,6
2020-4-25,429,275,6
2020-4-26,429,281,6
2020-4-27,429,290,6
2020-4-28,429,307,6
2020-4-29,429,311,6
2020-4-30,429,322,6
2020-5-1,429,324,6
2020-5-2,432,324,6
