date,confirmed,recovered,deaths
2020-1-22,2,0,0
2020-1-23,3,0,0
2020-1-24,5,0,0
2020-1-25,7,0,0
2020-1-26,8,2,0
2020-1-27,8,2,0
2020-1-28,14,5,0
2020-1-29,14,5,0
2020-1-30,14,5,0
2020-1-31,19,5,0
2020-2-1,19,5,0
2020-2-2,19,5,0
2020-2-3,19,5,0
2020-2-4,25,5,0
2020-2-5,25,5,0
2020-2-6,25,5,0
2020-2-7,25,5,0
2020-2-8,32,10,0
2020-2-9,32,10,0
2020-2-10,32,10,0
2020-2-11,33,10,0
2020-2-12,33,10,0
2020-2-13,33,12,0
2020-2-14,33,12,0
2020-2-15,33,12,0
2020-2-16,34,14,0
2020-2-17,35,15,0
2020-2-18,35,15,0
2020-2-19,35,15,0
2020-2-20,35,15,0
2020-2-21,35,17,0
2020-2-22,35,17,0
2020-2-23,35,21,0
2020-2-24,35,21,0
2020-2-25,37,22,0
2020-2-26,40,22,0
2020-2-27,40,22,0
2020-2-28,41,28,0
2020-2-29,42,28,0
2020-3-1,42,28,1
2020-3-2,43,31,1
2020-3-3,43,31,1
2020-3-4,43,31,1
2020-3-5,47,31,1
2020-3-6,48,31,1
2020-3-7,50,31,1
2020-3-8,50,31,1
2020-3-9,50,31,1
2020-3-10,53,33,1
2020-3-11,59,34,1
2020-3-12,70,34,1
2020-3-13,75,35,1
2020-3-14,82,35,1
2020-3-15,114,35,1
2020-3-16,147,35,1
2020-3-17,177,41,1
2020-3-18,212,42,1
2020-3-19,272,42,1
2020-3-20,322,42,1
2020-3-21,411,42,1
2020-3-22,599,44,1
2020-3-23,721,44,1
2020-3-24,827,52,4
2020-3-25,934,70,4
2020-3-26,1045,88,4
2020-3-27,1136,97,5
2020-3-28,1245,97,6
2020-3-29,1388,97,7
2020-3-30,1524,229,9
2020-3-31,1651,342,10
2020-4-1,1771,505,12
2020-4-2,1875,505,15
2020-4-3,1978,612,19
2020-4-4,2067,674,20
2020-4-5,2169,793,23
2020-4-6,2220,793,26
2020-4-7,2258,888,27
2020-4-8,2369,888,30
2020-4-9,2423,940,32
2020-4-10,2473,1013,33
2020-4-11,2518,1135,35
2020-4-12,2551,1218,38
2020-4-13,2579,1288,40
2020-4-14,2613,1405,41
2020-4-15,2643,1497,43
2020-4-16,2672,1593,46
2020-4-17,2700,1689,47
2020-4-18,2733,1787,47
2020-4-19,2765,1928,47
2020-4-20,2792,1999,47
2020-4-21,2811,2108,48
2020-4-22,2826,2352,49
2020-4-23,2839,2430,50
2020-4-24,2907,2547,51
2020-4-25,2907,2547,51
2020-4-26,2922,2594,51
2020-4-27,2931,2609,52
2020-4-28,2938,2652,54
2020-4-29,2947,2665,54
2020-4-30,2954,2684,54
2020-5-1,2960,2719,54
2020-5-2,2966,2732,54
