date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,1,0,0
2020-3-11,1,0,0
2020-3-12,1,0,0
2020-3-13,1,0,0
2020-3-14,1,0,0
2020-3-15,1,0,0
2020-3-16,1,0,0
2020-3-17,1,0,0
2020-3-18,1,0,0
2020-3-19,1,0,0
2020-3-20,9,1,0
2020-3-21,16,1,0
2020-3-22,16,1,0
2020-3-23,18,1,0
2020-3-24,20,1,0
2020-3-25,23,1,0
2020-3-26,23,1,0
2020-3-27,25,1,1
2020-3-28,25,1,1
2020-3-29,25,1,1
2020-3-30,30,1,1
2020-3-31,34,10,1
2020-4-1,36,10,2
2020-4-2,39,17,2
2020-4-3,40,17,3
2020-4-4,41,17,3
2020-4-5,44,20,3
2020-4-6,58,23,3
2020-4-7,65,23,3
2020-4-8,70,23,3
2020-4-9,73,24,3
2020-4-10,76,25,3
2020-4-11,76,25,3
2020-4-12,76,29,3
2020-4-13,77,29,3
2020-4-14,77,32,3
2020-4-15,81,35,3
2020-4-16,81,45,5
2020-4-17,83,48,5
2020-4-18,84,49,5
2020-4-19,84,52,5
2020-4-20,84,53,6
2020-4-21,86,56,6
2020-4-22,88,56,6
2020-4-23,88,59,6
2020-4-24,90,59,6
2020-4-25,96,62,6
2020-4-26,98,62,6
2020-4-27,98,62,6
2020-4-28,99,63,6
2020-4-29,109,64,7
2020-4-30,116,65,9
2020-5-1,123,66,9
