date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,2,0,0
2020-3-9,2,0,0
2020-3-10,5,0,0
2020-3-11,7,0,0
2020-3-12,7,0,0
2020-3-13,16,0,0
2020-3-14,18,0,0
2020-3-15,18,0,0
2020-3-16,20,0,0
2020-3-17,24,0,0
2020-3-18,29,0,0
2020-3-19,39,0,1
2020-3-20,54,0,1
2020-3-21,60,0,1
2020-3-22,75,1,3
2020-3-23,89,1,3
2020-3-24,114,1,4
2020-3-25,173,2,5
2020-3-26,197,2,6
2020-3-27,227,2,6
2020-3-28,278,2,8
2020-3-29,312,2,8
2020-3-30,312,3,8
2020-3-31,394,3,10
2020-4-1,423,5,12
2020-4-2,455,5,14
2020-4-3,495,5,18
2020-4-4,553,5,18
2020-4-5,574,5,22
2020-4-6,596,5,22
2020-4-7,623,25,23
2020-4-8,628,25,24
2020-4-9,643,25,25
2020-4-10,671,25,25
2020-4-11,685,43,28
2020-4-12,707,43,31
2020-4-13,726,43,34
2020-4-14,747,43,34
2020-4-15,780,43,35
2020-4-16,822,43,37
2020-4-17,864,43,37
2020-4-18,864,43,37
2020-4-19,879,43,38
2020-4-20,884,148,38
2020-4-21,884,148,38
2020-4-22,909,190,38
2020-4-23,918,190,38
2020-4-24,922,194,38
2020-4-25,939,207,38
2020-4-26,949,216,38
2020-4-27,967,279,39
2020-4-28,975,279,40
2020-4-29,980,294,40
2020-4-30,994,305,41
2020-5-1,998,316,41
2020-5-2,1009,323,42
