date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,1,0,0
2020-3-12,1,0,0
2020-3-13,5,0,0
2020-3-14,5,0,0
2020-3-15,6,0,0
2020-3-16,18,0,0
2020-3-17,47,0,1
2020-3-18,98,0,1
2020-3-19,192,0,3
2020-3-20,359,0,4
2020-3-21,670,0,9
2020-3-22,1236,0,30
2020-3-23,1529,0,37
2020-3-24,1872,0,44
2020-3-25,2433,26,59
2020-3-26,3629,26,75
2020-3-27,5698,42,92
2020-3-28,7402,70,108
2020-3-29,9217,105,131
2020-3-30,10827,162,168
2020-3-31,13531,243,214
2020-4-1,15679,333,277
2020-4-2,18135,415,356
2020-4-3,20921,484,425
2020-4-4,23934,786,501
2020-4-5,27069,1042,574
2020-4-6,30217,1326,649
2020-4-7,34109,1582,725
2020-4-8,38226,1846,812
2020-4-9,42282,2142,908
2020-4-10,47029,2423,1006
2020-4-11,52167,2965,1101
2020-4-12,56956,3446,1198
2020-4-13,61049,3957,1296
2020-4-14,65111,4799,1403
2020-4-15,69392,5674,1518
2020-4-16,74193,7089,1643
2020-4-17,78546,8631,1769
2020-4-18,82329,10453,1890
2020-4-19,86306,11976,2017
2020-4-20,90980,13430,2140
2020-4-21,95591,14918,2259
2020-4-22,98674,16477,2376
2020-4-23,101790,18491,2491
2020-4-24,104912,21737,2600
2020-4-25,107773,25582,2706
2020-4-26,110130,29140,2805
2020-4-27,112261,33791,2900
2020-4-28,114653,38809,2992
2020-4-29,117589,44040,3081
2020-4-30,120204,48886,3174
2020-5-1,122392,53808,3258
