date,confirmed,recovered,deaths
2020-1-22,1,0,0
2020-1-23,1,0,0
2020-1-24,2,0,0
2020-1-25,2,0,0
2020-1-26,5,0,0
2020-1-27,5,0,0
2020-1-28,5,0,0
2020-1-29,5,0,0
2020-1-30,5,0,0
2020-1-31,7,0,0
2020-2-1,8,0,0
2020-2-2,8,0,0
2020-2-3,11,0,0
2020-2-4,11,0,0
2020-2-5,11,0,0
2020-2-6,11,0,0
2020-2-7,11,0,0
2020-2-8,11,0,0
2020-2-9,11,3,0
2020-2-10,11,3,0
2020-2-11,12,3,0
2020-2-12,12,3,0
2020-2-13,13,3,0
2020-2-14,13,3,0
2020-2-15,13,3,0
2020-2-16,13,3,0
2020-2-17,13,3,0
2020-2-18,13,3,0
2020-2-19,13,3,0
2020-2-20,13,3,0
2020-2-21,15,5,0
2020-2-22,15,5,0
2020-2-23,15,5,0
2020-2-24,51,5,0
2020-2-25,51,6,0
2020-2-26,57,6,0
2020-2-27,58,6,0
2020-2-28,60,7,0
2020-2-29,68,7,1
2020-3-1,74,7,1
2020-3-2,98,7,6
2020-3-3,118,7,7
2020-3-4,149,7,11
2020-3-5,217,7,12
2020-3-6,262,7,14
2020-3-7,402,7,17
2020-3-8,518,7,21
2020-3-9,583,7,22
2020-3-10,959,8,28
2020-3-11,1281,8,36
2020-3-12,1663,12,41
2020-3-13,2179,12,49
2020-3-14,2727,12,58
2020-3-15,3499,12,73
2020-3-16,4632,17,99
2020-3-17,6421,17,133
2020-3-18,7783,105,164
2020-3-19,13747,121,258
2020-3-20,19273,147,349
2020-3-21,25600,176,442
2020-3-22,33276,178,586
2020-3-23,43843,178,786
2020-3-24,53736,348,1008
2020-3-25,65778,361,1316
2020-3-26,83836,681,1726
2020-3-27,101657,869,2265
2020-3-28,121465,1072,2731
2020-3-29,140909,2665,3420
2020-3-30,161831,5644,4192
2020-3-31,188172,7024,5367
2020-4-1,213242,8474,6501
2020-4-2,243622,9001,7921
2020-4-3,275367,9707,9246
2020-4-4,308650,14652,10855
2020-4-5,336802,17448,12375
2020-4-6,366317,19581,13894
2020-4-7,397121,21763,16191
2020-4-8,428654,23559,18270
2020-4-9,462780,25410,20255
2020-4-10,496535,28790,22333
2020-4-11,526396,31270,24342
2020-4-12,555313,32988,26086
2020-4-13,580619,43482,27870
2020-4-14,607670,47763,30262
2020-4-15,636350,52096,32734
2020-4-16,667592,54703,34827
2020-4-17,699706,58545,37411
2020-4-18,732197,64840,39753
2020-4-19,758809,70337,40945
2020-4-20,784326,72329,42659
2020-4-21,811865,75204,45086
2020-4-22,840351,77366,47412
2020-4-23,869170,80203,49724
2020-4-24,905358,99079,51493
2020-4-25,938154,100372,53755
2020-4-26,965785,106988,54881
2020-4-27,988197,111424,56259
2020-4-28,1012582,115936,58355
2020-4-29,1039909,120720,60967
2020-4-30,1069424,153947,62996
2020-5-1,1103461,164015,64943
2020-5-2,1132539,175382,66369
