date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,1,0,0
2020-3-11,1,0,0
2020-3-12,1,0,0
2020-3-13,3,0,1
2020-3-14,3,0,1
2020-3-15,3,0,1
2020-3-16,7,0,1
2020-3-17,14,0,2
2020-3-18,14,0,2
2020-3-19,16,0,2
2020-3-20,29,0,3
2020-3-21,47,1,3
2020-3-22,73,1,3
2020-3-23,73,1,3
2020-3-24,97,1,3
2020-3-25,145,1,5
2020-3-26,196,1,5
2020-3-27,310,5,5
2020-3-28,356,5,9
2020-3-29,475,6,10
2020-3-30,548,8,13
2020-3-31,645,10,17
2020-4-1,794,13,20
2020-4-2,897,19,22
2020-4-3,1072,22,27
2020-4-4,1225,25,32
2020-4-5,1308,28,37
2020-4-6,1319,28,38
2020-4-7,1462,28,45
2020-4-8,1668,35,52
2020-4-9,1892,45,57
2020-4-10,2203,61,69
2020-4-11,2511,79,73
2020-4-12,2777,89,83
2020-4-13,3102,97,93
2020-4-14,3372,119,98
2020-4-15,3764,143,108
2020-4-16,4161,186,116
2020-4-17,4662,246,125
2020-4-18,5106,275,133
2020-4-19,5449,347,141
2020-4-20,5710,359,151
2020-4-21,6125,367,161
2020-4-22,6592,424,174
2020-4-23,7170,504,187
2020-4-24,7647,782,201
2020-4-25,8125,782,201
2020-4-26,8617,840,209
2020-4-27,9009,864,220
2020-4-28,9410,992,239
2020-4-29,9866,1103,250
2020-4-30,10406,1238,261
2020-5-1,10861,1413,272
2020-5-2,11411,1498,279
