date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,4,0,0
2020-1-30,4,0,0
2020-1-31,4,0,0
2020-2-1,4,0,0
2020-2-2,5,0,0
2020-2-3,5,0,0
2020-2-4,5,0,0
2020-2-5,5,0,0
2020-2-6,5,0,0
2020-2-7,5,0,0
2020-2-8,7,0,0
2020-2-9,7,0,0
2020-2-10,8,0,0
2020-2-11,8,0,0
2020-2-12,8,1,0
2020-2-13,8,1,0
2020-2-14,8,1,0
2020-2-15,8,3,0
2020-2-16,9,4,0
2020-2-17,9,4,0
2020-2-18,9,4,0
2020-2-19,9,4,0
2020-2-20,9,4,0
2020-2-21,9,4,0
2020-2-22,13,4,0
2020-2-23,13,4,0
2020-2-24,13,4,0
2020-2-25,13,4,0
2020-2-26,13,4,0
2020-2-27,13,4,0
2020-2-28,19,5,0
2020-2-29,21,5,0
2020-3-1,21,5,0
2020-3-2,21,5,0
2020-3-3,27,5,0
2020-3-4,27,5,0
2020-3-5,29,5,0
2020-3-6,29,5,0
2020-3-7,45,7,0
2020-3-8,45,7,0
2020-3-9,45,7,0
2020-3-10,74,12,0
2020-3-11,74,17,0
2020-3-12,85,17,0
2020-3-13,85,17,0
2020-3-14,85,17,0
2020-3-15,98,23,0
2020-3-16,98,23,0
2020-3-17,98,23,0
2020-3-18,113,26,0
2020-3-19,140,31,0
2020-3-20,140,31,2
2020-3-21,153,38,2
2020-3-22,153,38,2
2020-3-23,198,38,2
2020-3-24,248,45,2
2020-3-25,333,52,2
2020-3-26,333,52,2
2020-3-27,405,52,2
2020-3-28,468,52,2
2020-3-29,570,58,3
2020-3-30,611,61,5
2020-3-31,664,61,6
2020-4-1,814,61,8
2020-4-2,1024,96,8
2020-4-3,1264,108,9
2020-4-4,1505,125,10
2020-4-5,1799,144,10
2020-4-6,2076,167,11
2020-4-7,2359,186,12
2020-4-8,2659,239,12
2020-4-9,2990,268,14
2020-4-10,3360,418,16
2020-4-11,3736,588,20
2020-4-12,4123,680,22
2020-4-13,4521,852,25
2020-4-14,4933,933,28
2020-4-15,5365,1034,33
2020-4-16,5825,1095,35
2020-4-17,6302,1188,37
2020-4-18,6302,1188,37
2020-4-19,6781,1286,41
2020-4-20,7265,1360,43
2020-4-21,7755,1443,46
2020-4-22,8238,1546,52
2020-4-23,8756,1637,56
2020-4-24,9281,1760,64
2020-4-25,9813,1887,71
2020-4-26,10349,1978,76
2020-4-27,10839,2090,82
2020-4-28,11380,2181,89
2020-4-29,11929,2329,98
2020-4-30,12481,2429,105
2020-5-1,13038,2543,111
2020-5-2,13599,2664,119
