date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,2,0,0
2020-2-1,2,0,0
2020-2-2,2,0,0
2020-2-3,2,0,0
2020-2-4,2,0,0
2020-2-5,2,0,0
2020-2-6,2,0,0
2020-2-7,3,0,0
2020-2-8,3,0,0
2020-2-9,3,0,0
2020-2-10,8,0,0
2020-2-11,8,0,0
2020-2-12,9,1,0
2020-2-13,9,1,0
2020-2-14,9,1,0
2020-2-15,9,1,0
2020-2-16,9,8,0
2020-2-17,9,8,0
2020-2-18,9,8,0
2020-2-19,9,8,0
2020-2-20,9,8,0
2020-2-21,9,8,0
2020-2-22,9,8,0
2020-2-23,9,8,0
2020-2-24,13,8,0
2020-2-25,13,8,0
2020-2-26,13,8,0
2020-2-27,15,8,0
2020-2-28,20,8,0
2020-2-29,23,8,0
2020-3-1,36,8,0
2020-3-2,40,8,0
2020-3-3,51,8,0
2020-3-4,86,8,0
2020-3-5,116,8,0
2020-3-6,164,8,1
2020-3-7,207,18,2
2020-3-8,274,18,2
2020-3-9,322,18,3
2020-3-10,384,19,7
2020-3-11,459,19,7
2020-3-12,459,19,9
2020-3-13,802,19,10
2020-3-14,1144,19,28
2020-3-15,1145,19,43
2020-3-16,1551,21,66
2020-3-17,1960,53,82
2020-3-18,2642,67,116
2020-3-19,2716,67,159
2020-3-20,4014,67,195
2020-3-21,5067,67,251
2020-3-22,5745,67,286
2020-3-23,6726,67,360
2020-3-24,8164,140,509
2020-3-25,9640,140,695
2020-3-26,11812,150,879
2020-3-27,14745,151,1163
2020-3-28,17312,151,1457
2020-3-29,19780,151,1672
2020-3-30,22453,171,2046
2020-3-31,25481,179,2429
2020-4-1,29865,179,3100
2020-4-2,34173,192,3752
2020-4-3,38689,208,4467
2020-4-4,42477,215,5228
2020-4-5,48436,229,5874
2020-4-6,52279,287,6445
2020-4-7,55949,325,7483
2020-4-8,61474,345,8519
2020-4-9,65872,359,9623
2020-4-10,74605,588,10776
2020-4-11,79874,622,11616
2020-4-12,85206,626,12302
2020-4-13,89570,304,13047
2020-4-14,94845,323,14095
2020-4-15,99483,368,14941
2020-4-16,104145,375,15974
2020-4-17,109769,394,16910
2020-4-18,115314,414,18028
2020-4-19,121172,436,18527
2020-4-20,125856,446,19092
2020-4-21,130172,638,20264
2020-4-22,134638,683,21111
2020-4-23,139246,712,21840
2020-4-24,144640,724,22853
2020-4-25,149569,774,23697
2020-4-26,154037,778,24117
2020-4-27,158348,807,24458
2020-4-28,162350,813,25369
2020-4-29,166441,857,26166
2020-4-30,172481,859,26842
2020-5-1,178685,892,27583
