date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,4,0,0
2020-3-15,4,0,0
2020-3-16,8,0,0
2020-3-17,29,0,0
2020-3-18,50,0,0
2020-3-19,79,0,0
2020-3-20,94,0,0
2020-3-21,110,0,0
2020-3-22,158,0,0
2020-3-23,162,0,0
2020-3-24,162,0,0
2020-3-25,189,0,0
2020-3-26,217,0,0
2020-3-27,238,0,0
2020-3-28,274,0,0
2020-3-29,304,0,1
2020-3-30,310,0,1
2020-3-31,338,41,1
2020-4-1,338,41,2
2020-4-2,350,62,4
2020-4-3,369,68,4
2020-4-4,400,93,5
2020-4-5,400,93,5
2020-4-6,406,104,6
2020-4-7,424,150,7
2020-4-8,424,150,7
2020-4-9,456,192,7
2020-4-10,473,206,7
2020-4-11,494,214,7
2020-4-12,480,231,7
2020-4-13,480,231,8
2020-4-14,483,248,8
2020-4-15,492,260,8
2020-4-16,502,286,9
2020-4-17,502,286,9
2020-4-18,508,294,9
2020-4-19,517,298,10
2020-4-20,535,313,10
2020-4-21,535,313,11
2020-4-22,543,324,12
2020-4-23,557,354,12
2020-4-24,563,369,12
2020-4-25,596,370,14
2020-4-26,606,375,15
2020-4-27,620,386,15
2020-4-28,625,394,15
2020-4-29,630,412,15
2020-4-30,643,417,17
2020-5-1,648,435,17
2020-5-2,652,440,17
