date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,1,0,0
2020-3-16,6,0,0
2020-3-17,10,0,0
2020-3-18,15,0,0
2020-3-19,23,0,0
2020-3-20,33,0,0
2020-3-21,43,0,0
2020-3-22,43,0,0
2020-3-23,46,0,0
2020-3-24,50,0,0
2020-3-25,60,0,0
2020-3-26,75,0,0
2020-3-27,88,5,1
2020-3-28,104,5,2
2020-3-29,144,7,2
2020-3-30,149,7,2
2020-3-31,172,7,2
2020-4-1,181,12,2
2020-4-2,205,25,2
2020-4-3,227,25,2
2020-4-4,266,25,2
2020-4-5,342,30,2
2020-4-6,457,30,2
2020-4-7,520,30,2
2020-4-8,545,30,3
2020-4-9,582,38,3
2020-4-10,624,42,3
2020-4-11,767,42,4
2020-4-12,865,66,4
2020-4-13,998,85,4
2020-4-14,1165,99,4
2020-4-15,1302,107,4
2020-4-16,1349,129,4
2020-4-17,1405,156,4
2020-4-18,1490,194,5
2020-4-19,1565,225,5
2020-4-20,1627,261,5
2020-4-21,1678,357,6
2020-4-22,1716,450,7
2020-4-23,1758,561,7
2020-4-24,1804,621,8
2020-4-25,1862,707,8
2020-4-26,1869,789,8
2020-4-27,1904,892,8
2020-4-28,1939,992,8
2020-4-29,2002,1096,9
2020-4-30,2039,1133,9
2020-5-1,2086,1212,9
