date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,2,0,0
2020-3-15,10,0,0
2020-3-16,17,0,0
2020-3-17,33,0,0
2020-3-18,36,0,0
2020-3-19,42,0,0
2020-3-20,42,0,0
2020-3-21,70,0,0
2020-3-22,70,15,0
2020-3-23,77,15,0
2020-3-24,84,15,0
2020-3-25,91,15,0
2020-3-26,107,15,0
2020-3-27,107,31,1
2020-3-28,119,39,2
2020-3-29,119,39,2
2020-3-30,135,39,3
2020-3-31,135,39,3
2020-4-1,143,41,3
2020-4-2,146,43,5
2020-4-3,153,52,7
2020-4-4,155,52,7
2020-4-5,159,52,7
2020-4-6,165,65,7
2020-4-7,165,65,7
2020-4-8,167,65,9
2020-4-9,171,84,9
2020-4-10,171,84,9
2020-4-11,175,93,9
2020-4-12,181,93,9
2020-4-13,189,110,9
2020-4-14,189,110,9
2020-4-15,197,111,9
2020-4-16,204,111,9
2020-4-17,204,111,9
2020-4-18,227,113,9
2020-4-19,256,117,9
2020-4-20,256,117,9
2020-4-21,285,117,10
2020-4-22,288,122,10
2020-4-23,311,126,10
2020-4-24,318,132,10
2020-4-25,323,132,10
2020-4-26,325,137,10
2020-4-27,329,142,10
2020-4-28,329,142,10
2020-4-29,331,142,10
2020-4-30,333,142,16
2020-5-1,335,148,10
