date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,2,0,0
2020-1-24,2,0,0
2020-1-25,2,0,0
2020-1-26,2,0,0
2020-1-27,2,0,0
2020-1-28,2,0,0
2020-1-29,2,0,0
2020-1-30,2,0,0
2020-1-31,2,0,0
2020-2-1,6,1,0
2020-2-2,6,1,0
2020-2-3,8,1,0
2020-2-4,8,1,0
2020-2-5,8,1,0
2020-2-6,10,1,0
2020-2-7,10,1,0
2020-2-8,13,1,0
2020-2-9,13,1,0
2020-2-10,14,1,0
2020-2-11,15,6,0
2020-2-12,15,6,0
2020-2-13,16,7,0
2020-2-14,16,7,0
2020-2-15,16,7,0
2020-2-16,16,7,0
2020-2-17,16,7,0
2020-2-18,16,7,0
2020-2-19,16,7,0
2020-2-20,16,7,0
2020-2-21,16,14,0
2020-2-22,16,14,0
2020-2-23,16,14,0
2020-2-24,16,14,0
2020-2-25,16,16,0
2020-2-26,16,16,0
2020-2-27,16,16,0
2020-2-28,16,16,0
2020-2-29,16,16,0
2020-3-1,16,16,0
2020-3-2,16,16,0
2020-3-3,16,16,0
2020-3-4,16,16,0
2020-3-5,16,16,0
2020-3-6,16,16,0
2020-3-7,18,16,0
2020-3-8,30,16,0
2020-3-9,30,16,0
2020-3-10,31,16,0
2020-3-11,38,16,0
2020-3-12,39,16,0
2020-3-13,47,16,0
2020-3-14,53,16,0
2020-3-15,56,16,0
2020-3-16,61,16,0
2020-3-17,66,16,0
2020-3-18,75,16,0
2020-3-19,85,16,0
2020-3-20,91,16,0
2020-3-21,94,17,0
2020-3-22,113,17,0
2020-3-23,123,17,0
2020-3-24,134,17,0
2020-3-25,141,17,0
2020-3-26,153,20,0
2020-3-27,163,20,0
2020-3-28,174,21,0
2020-3-29,188,25,0
2020-3-30,203,55,0
2020-3-31,212,58,0
2020-4-1,218,63,0
2020-4-2,233,75,0
2020-4-3,237,85,0
2020-4-4,240,90,0
2020-4-5,241,90,0
2020-4-6,245,95,0
2020-4-7,249,123,0
2020-4-8,251,126,0
2020-4-9,255,128,0
2020-4-10,257,144,0
2020-4-11,258,144,0
2020-4-12,262,144,0
2020-4-13,265,146,0
2020-4-14,266,169,0
2020-4-15,267,171,0
2020-4-16,268,177,0
2020-4-17,268,198,0
2020-4-18,268,201,0
2020-4-19,268,202,0
2020-4-20,268,214,0
2020-4-21,268,216,0
2020-4-22,268,223,0
2020-4-23,268,224,0
2020-4-24,270,220,0
2020-4-25,270,225,0
2020-4-26,270,225,0
2020-4-27,270,225,0
2020-4-28,270,222,0
2020-4-29,270,222,0
2020-4-30,270,219,0
2020-5-1,270,219,0
