date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,4,0,0
2020-3-6,7,0,0
2020-3-7,16,0,0
2020-3-8,16,0,0
2020-3-9,19,0,0
2020-3-10,26,0,0
2020-3-11,30,0,0
2020-3-12,30,0,0
2020-3-13,31,0,0
2020-3-14,35,0,0
2020-3-15,38,0,0
2020-3-16,38,0,0
2020-3-17,39,0,0
2020-3-18,41,0,0
2020-3-19,44,0,0
2020-3-20,47,17,0
2020-3-21,48,17,0
2020-3-22,52,17,0
2020-3-23,59,17,0
2020-3-24,59,17,0
2020-3-25,59,17,0
2020-3-26,84,17,1
2020-3-27,91,17,1
2020-3-28,98,18,1
2020-3-29,109,18,1
2020-3-30,116,18,1
2020-3-31,119,18,1
2020-4-1,134,18,1
2020-4-2,161,18,1
2020-4-3,194,21,1
2020-4-4,217,21,1
2020-4-5,237,25,1
2020-4-6,254,24,1
2020-4-7,261,42,1
2020-4-8,263,44,1
2020-4-9,263,44,1
2020-4-10,267,45,2
2020-4-11,268,57,2
2020-4-12,290,58,2
2020-4-13,308,58,2
2020-4-14,308,62,2
2020-4-15,374,63,2
2020-4-16,374,63,2
2020-4-17,402,69,2
2020-4-18,418,69,2
2020-4-19,437,71,3
2020-4-20,449,71,3
2020-4-21,466,71,4
2020-4-22,474,71,4
2020-4-23,480,92,4
2020-4-24,484,92,4
2020-4-25,342,92,2
2020-4-26,342,83,2
2020-4-27,342,83,2
2020-4-28,343,71,2
2020-4-29,344,71,2
2020-4-30,344,76,2
2020-5-1,353,76,2
2020-5-2,353,76,2
