State,Cases
Jammu and Kashmir,4507
West Bengal,9328
Uttarakhand,1562
Uttar Pradesh,11610
Tripura,895
Tamil Nadu,36841
Telangana,4111
Sikkim,13
Rajasthan,11600
Puducherry,127
Punjab,2805
Odisha,3250
Nagaland,128
Mizoram,93
Madhya Pradesh,10049
Manipur,311
Meghalaya,44
Maharashtra,94041
Andhra Pradesh,5269
Kerala,2161
Karnataka,6041
Ladakh,115
Jharkhand,1489
Haryana,5579
Himachal Pradesh,451
Gujarat,21521
Goa,387
Dadra and Nagar Haveli,28
Delhi,32810
Andaman and Nicobar Islands,34
Chhattisgarh,1262
Chandigarh,327
Bihar,5710
Assam,3092
Arunachal Pradesh,57
Andhra Pradesh,5269
Andaman and Nicobar Islands,34
