States,30th April(Predicted),30th April(Actual),1st May(Predicted),1st May(Actual),2nd May(Predicted),2nd May(Actual),3rd May(Predicted),3rd May(Actual),4th May(Predicted),4th May(Actual),5th May(Predicted),5th May(Actual),6th May(Predicted),6th May(Actual),7th May(Predicted),7th May(Actual),8th May(Predicted),8th May(Actual),9th May(Predicted),9th May(Actual),10th May(Predicted),10th May(Actual),11th May(Predicted),11th May(Actual),12th May(Predicted),12th May(Actual),13th May(Predicted),13th May(Actual),14th May(Predicted),14th May(Actual),15th May(Predicted),15th May(Actual),16th May(Predicted),16th May(Actual),17th May(Predicted),17th May(Actual),18th May(Predicted),18th May(Actual),19th May(Predicted),19th May(Actual),20th May(Predicted),20th May(Actual),21st May(Predicted),21st May(Actual),22nd May(Predicted),22nd May(Actual),23rd May(Predicted),23rd May(Actual),24th May(Predicted),24th May(Actual),25th May(Predicted),25th May(Actual),26th May(Predicted),26th May(Actual),27th May(Predicted),27th May(Actual),28th May(Predicted),28th May(Actual),29th May(Predicted),29th May(Actual),30th May(Predicted),30th May(Actual),31st May(Predicted),31st May(Actual),1st June(Predicted),1st June(Actual),2nd June(Predicted),2nd June(Actual),3rd June(Predicted),3rd June(Actual),4th June(Predicted),4th June(Actual),5th June(Predicted),5th June(Actual),6th June(Predicted),6th June(Actual),7th June(Predicted),7th June(Actual),8th June(Predicted),8th June(Actual),9th June(Predicted),9th June(Actual),10th June(Predicted),10th June(Actual),11th June(Predicted),11th June(Actual),12th June(Predicted),12th June(Actual),13th June(Predicted),13th June(Actual),14th June(Predicted),14th June(Actual),15th June(Predicted),15th June(Actual)
India,35266,34866,37234,37262,39427,39829,42385,42546,45815,46437,49711,49405,53099,52987,56634,56351,60087,59695,64292,62939,67106,67152,71202,70756,74066,74281,78409,78003,82199,81970,86221,85833,91221,90636,96378,95459,101470,100324,105808,105653,113016,110955,117061,116826,123402,123201,130664,129527,135079,136200,144829,145374,151513,151767,158894,158104,164755,165358,174346,173496,181248,182143,190044,190535,197251,198706,207718,207615,217644,216919,225769,226770,236834,236657,245990,246628,258836,,,,,,,,,,,,,,,,,
Maharashtra,10848,10498,11478,11506,12248,12296,13205,12974,14400,14541,15690,15525,16733,16758,18184,17974,19147,19263,20774,20228,21872,22171,23626,23401,24639,24427,25239,25922,27850,27524,29101,29100,31811,30706,33004,33053,35349,35058,37362,37136,39745,39297,42145,41642,44289,44582,47558,47190,50556,50231,53674,52667,56601,54758,57240,56948,60348,59546,63055,62228,66101,65168,68181,67655,68870,70013,72961,72300,75651,74860,79908,77793,80964,80229,81965,82968,86450,,,,,,,,,,,,,,,,,
Gujarat,4421,4395,4713,4721,5060,5054,5445,5428,5826,5804,6240,6245,6591,6625,7123,7013,7445,7403,8016,7796,8440,8194,8646,8541,8911,8903,9487,9267,9939,9591,10292,9932,10558,10988,11895,11379,12515,11745,12434,12140,13868,12537,12971,12905,13681,13268,13999,13664,15858,14056,14771,14460,14819,14821,15230,15195,16141,15562,16498,15934,16744,16343,16946,16779,17635,17200,18183,17617,18091,18100,18806,18584,19481,19094,19730,19592,20687,,,,,,,,,,,,,,,,,
Delhi,3650,3515,3805,3738,3945,4122,4270,4549,4769,4898,5165,5104,5501,5532,6006,5980,6365,6318,6721,6542,6963,6923,7313,7233,7650,7639,8288,7998,8418,8470,8908,8895,9267,9333,9936,9755,10134,10054,10679,10554,11146,11088,11217,11659,12390,12319,13398,12910,13283,13418,14225,14053,14856,14465,15286,15257,15821,16281,17209,17386,17987,18549,19337,19844,20455,20834,22054,22132,23345,23645,24565,25004,26335,27130,27837,27654,29379,,,,,,,,,,,,,,,,,
Rajasthan,2540,2584,2650,2666,2871,2772,2896,2886,3000,3061,3154,3158,3290,3317,3445,3427,3580,3579,3732,3708,3554,3814,3994,3988,4096,4126,4291,4328,4437,4534,4599,4747,4894,4960,5180,5202,5401,5507,5683,5845,6110,6015,6320,6227,6549,6494,6770,6742,7052,7028,7357,7300,7668,7536,7886,7703,8128,8067,8456,8365,8710,8617,8947,8831,9275,8980,9489,9373,9619,9652,9967,9862,10278,10084,10578,10331,10819,,,,,,,,,,,,,,,,,
Madhya Pradesh,2650,2625,2816,2715,2809,2788,2966,2837,2976,2942,3047,3049,3166,3138,3250,3252,3387,3341,3554,3614,3853,3614,3786,3785,3871,3986,4092,4173,4230,4426,4474,4595,4790,4789,4997,4977,5186,5236,5411,5465,5695,5735,5952,5981,6307,6170,6474,6371,6739,6665,6975,6859,7190,7024,7402,7268,7590,7453,7850,7645,7971,7891,7943,8089,8492,8283,8683,8420,8980,8588,8960,8762,9063,8996,9375,9228,9567,,,,,,,,,,,,,,,,,
Tamil Nadu,2242,2323,2450,2526,2659,2757,2977,3023,3293,3550,3890,4058,4586,4829,5108,5409,6121,6009,6882,6535,7277,7204,7978,8002,8650,8718,9831,9227,9790,9674,10298,10108,10780,10585,11219,11224,12140,11760,12332,12448,13467,13191,14384,13967,14465,14753,15802,15512,13010,16277,17461,17082,18331,17728,18326,18545,19770,19372,20638,20246,20583,21184,21944,22333,23500,23495,24846,24586,25945,25872,27187,27256,28235,28694,30208,30152,32233,,,,,,,,,,,,,,,,,
Uttar Pradesh,2243,2211,2297,2328,2412,2487,2617,2645,2794,2766,2872,2880,3026,2998,3124,3071,3245,3214,3355,3373,3469,3467,3610,3573,3666,3664,3808,3729,3843,3902,4116,4057,4146,4258,4388,4259,4482,4605,4909,4926,5103,5175,5341,5515,5806,5735,5706,6017,6272,6268,6667,6532,6829,6548,6980,6991,7237,7170,7431,7284,7762,7445,7841,7823,8163,8075,8389,8361,8620,8729,8969,9237,9313,9733,10029,9733,10320,,,,,,,,,,,,,,,,,
Andhra Pradesh,1436,1403,1530,1463,1552,1525,1587,1583,1649,1650,1723,1717,1786,1777,1847,1833,1902,1887,1947,1930,1996,1980,2038,2018,2035,2090,2150,2137,2200,2205,2268,2289,2319,2355,2426,2407,2486,2474,2544,2532,2607,2602,2644,2647,2742,2709,2768,2757,2831,2823,2952,3110,3294,3171,3238,3171,3318,3251,3392,3436,3521,3569,3696,3679,3812,3783,3882,3898,4031,4080,4231,4223,4325,4303,4543,4510,4737,,,,,,,,,,,,,,,,,
Telangana,1040,1038,1041,1044,1050,1061,1068,1082,1085,1085,1092,1096,1110,1107,1118,1122,1131,1132,1141,1163,1176,1196,1221,1275,1318,1326,1384,1367,1371,1414,1446,1454,1504,1509,1563,1551,1612,1597,1658,1634,1671,1661,1681,1699,1708,1761,1776,1813,1857,1854,1918,1920,1971,1991,2046,2098,2143,2256,2347,2425,2588,2499,2553,2698,2854,2792,2997,2891,3035,3020,3152,3147,3347,3290,3393,3496,3648,,,,,,,,,,,,,,,,,
