States,India,Maharashtra,Gujarat,Delhi,Rajasthan,Madhya Pradesh,Tamil Nadu,Uttar Pradesh,Andhra Pradesh,Telangana,West Bengal,Karnataka,Jammu and Kashmir,Kerala,Punjab,Haryana,Bihar,Odisha,Jharkhand,Uttarakhand,Himachal Pradesh,Chhattisgarh,Assam,Andaman and Nicobar,Chandigarh,Ladakh,Meghalaya,Puducherry,Goa,Manipur,Tripura,Arunachal Pradesh,Mizoram
30th April,35266,10848,4421,3650,2540,2650,2242,2243,1436,1040,773,547,612,503,382,326,459,139,111,57,41,38,38,33,82,22,12,8,7,2,2,1,1
1st May,37234,11478,4713,3805,2650,2816,2450,2297,1530,1041,804,573,636,503,542,339,453,146,111,58,40,39,43,33,78,23,12,8,7,2,2,1,1
2nd May,39427,12248,5060,3945,2871,2809,2659,2412,1552,1050,829,603,650,505,723,358,497,165,115,59,40,43,43,33,102,23,12,8,7,2,2,1,1
3rd May,42385,13205,5445,4270,2896,2966,2977,2617,1587,1068,1013,618,675,503,953,398,515,177,116,60,40,45,44,33,105,23,12,9,7,2,4,1,1
4th May,45815,14400,5826,4769,3000,2976,3293,2794,1649,1085,1015,640,708,502,1390,472,545,177,116,62,40,58,44,33,123,46,12,9,7,2,20,1,1
5th May,49711,15690,6240,5165,3154,3047,3890,2872,1723,1092,1368,665,739,503,1650,571,554,179,117,63,41,56,44,33,132,51,12,9,7,2,40,1,1
6th May,53099,16733,6591,5501,3290,3166,4586,3026,1786,1110,1568,683,756,503,1783,622,554,213,125,63,41,48,45,33,136,50,12,9,7,2,55,1,1
7th May,56634,18184,7123,6006,3445,3250,5108,3124,1847,1118,1601,716,795,505,1705,664,568,212,127,63,43,50,47,33,128,44,12,9,7,2,96,1,1
8th May,60087,19147,7445,6365,3580,3387,6121,3245,1902,1131,1683,739,823,505,1828,668,561,230,138,63,51,59,55,33,139,42,12,9,7,2,115,1,1
9th May,64292,20774,8016,6721,3732,3554,6882,3355,1947,1141,1811,777,857,503,1810,693,594,314,153,64,49,67,67,33,153,42,12,9,7,2,151,1,1
10th May,67106,21872,8440,6963,3554,3853,7277,3469,1996,1176,1921,820,870,508,1862,706,598,369,161,68,51,63,68,33,182,42,13,9,7,2,151,1,1
11th May,71202,23626,8646,7313,3994,3786,7978,3610,2038,1221,2076,857,894,518,1920,728,690,419,168,70,58,60,66,33,187,42,13,9,7,2,171,1,1
12th May,74066,24639,8911,7650,4096,3871,8650,3666,2035,1318,2186,897,882,517,1885,734,728,516,175,70,67,60,64,33,185,42,13,13,7,2,152,1,1
13th May,78409,25239,9487,8288,4291,4092,9831,3808,2150,1384,2375,957,955,526,1967,800,849,506,179,71,64,61,66,33,193,42,13,14,7,2,157,1,1
14th May,82199,27850,9939,8418,4437,4230,9790,3843,2200,1371,2385,989,984,538,1944,808,982,565,173,73,73,60,86,33,191,43,13,14,7,2,156,1,1
15th May,86221,29101,10292,8908,4599,4474,10298,4116,2268,1446,2492,1036,1005,570,1988,854,1118,669,202,78,80,60,93,33,195,43,13,13,16,3,156,1,1
16th May,91221,31811,10558,9267,4894,4790,10780,4146,2319,1504,2579,1087,1041,593,1969,874,1106,881,220,83,84,64,92,33,195,43,13,17,16,3,157,1,1
17th May,96378,33004,11895,9936,5180,4997,11219,4388,2426,1563,2703,1141,1125,601,2002,921,1278,909,234,91,86,67,99,33,195,43,13,15,18,27,167,1,1
18th May,101470,35349,12515,10134,5401,5186,12140,4482,2486,1612,2790,1204,1193,608,1965,948,1358,960,236,98,85,84,107,33,191,43,13,14,51,14,168,1,1
19th May,105808,37362,12434,10679,5683,5411,12332,4909,2544,1658,2919,1287,1289,644,2014,957,1532,973,231,98,94,105,113,33,198,43,13,20,55,6,170,1,1
20th May,113016,39745,13868,11146,6110,5695,13467,5103,2607,1671,3067,1500,1375,660,2012,998,1640,1065,235,118,99,118,161,33,200,43,13,20,61,11,173,1,1
21st May,117061,42145,12971,11217,6320,5952,14384,5341,2644,1681,3231,1504,1505,675,2133,1030,1748,1113,252,137,116,123,222,32,204,48,14,20,54,63,180,1,1
22nd May,123402,44289,13681,12390,6549,6307,14465,5806,2742,1708,3387,1706,1509,710,2130,1063,2064,1272,283,161,184,145,253,33,213,44,14,22,54,40,176,1,1
23rd May,130664,47558,13999,13398,6770,6474,15802,5706,2768,1776,3488,1855,1563,720,2038,1098,2516,1299,316,175,213,203,320,33,224,44,14,26,55,34,177,1,1
24th May,135079,50556,15858,13283,7052,6739,13010,6272,2831,1857,3633,2087,1637,836,2116,1153,2614,1363,381,262,222,271,412,33,229,51,14,29,56,29,191,1,1
25th May,144829,53674,14771,14225,7357,6975,17461,6667,2952,1918,3811,2243,1681,909,2093,1215,2847,1431,412,451,223,329,489,33,242,55,14,53,68,35,193,1,1
26th May,151513,56601,14819,14856,7668,7190,18331,6829,3294,1971,4042,2439,1745,958,2110,1220,3087,1537,402,499,247,349,603,33,243,52,14,63,71,40,197,2,1
27th May,158894,57240,15230,15286,7886,7402,18326,6980,3238,2046,4185,2492,1818,1025,2112,1450,3332,1614,449,471,268,425,818,33,278,52,15,63,72,43,209,2,1
