States,30th April,1st May,2nd May,3rd May,4th May,5th May,6th May,7th May,8th May,9th May,10th May,11th May,12th May,13th May,14th May,15th May,16th May,17th May,18th May,19th May,20th May,21st May,22nd May,23rd May,24th May,25th May,26th May,27th May,28th May,29th May,30th May,31st May,1st June,2nd June,3rd June,4th June,5th June,6th June,7th June,8th June,9th June,10th June,11th June,12th June
India,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,140223,147738,157227,165546,173932,184864,195498,,,,,,,,,,,,,
Maharashtra,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,52995,54031,58924,62560,63624,69440,72184,,,,,,,,,,,,,
Gujarat,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,14637,15414,16182,16855,17649,18421,19167,,,,,,,,,,,,,
Delhi,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,13683,14410,15161,15983,16842,17697,18623,,,,,,,,,,,,,
Rajasthan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,7039,7350,7689,8022,8377,8740,9108,,,,,,,,,,,,,
Madhya Pradesh,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,6674,6961,7243,7557,7919,8252,8556,,,,,,,,,,,,,
Tamil Nadu,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,16462,17306,18406,19579,20838,22223,23568,,,,,,,,,,,,,
Uttar Pradesh,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,6108,6329,6584,6849,7317,7580,7984,,,,,,,,,,,,,
Andhra Pradesh,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2852,2932,3009,3085,3175,3251,3324,,,,,,,,,,,,,
Telangana,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1887,1954,2019,2072,2121,2189,2240,,,,,,,,,,,,,
West Bengal,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,3807,4031,4254,4475,4690,4909,5130,,,,,,,,,,,,,
Karnataka,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1967,2082,2294,2490,2701,3001,3344,,,,,,,,,,,,,
Jammu and Kashmir,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1619,1760,1947,2069,2164,2294,2436,,,,,,,,,,,,,
Punjab,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2078,2093,2107,2120,2129,2140,2155,,,,,,,,,,,,,
